time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/episodes,train/critic_loss,train/learning_rate,train/ent_coef,train/n_updates,train/ent_coef_loss,train/actor_loss
165095,22210,7,764.33221957,100.0,1880,3.4668891429901123,0.00073,0.02975448966026306,162094,-2.1653990745544434,-315.8254089355469
166095,22350,7,764.1042642,100.0,1890,3.8852853775024414,0.00073,0.029169948771595955,163094,3.681849956512451,-310.9908142089844
167095,22490,7,764.3014509500001,100.0,1900,3.307844638824463,0.00073,0.029875973239541054,164094,-1.5973349809646606,-314.669921875
168095,22629,7,764.3820733900002,100.0,1910,4.037238121032715,0.00073,0.029699532315135002,165094,2.5635459423065186,-315.15032958984375
169095,22769,7,764.5103552900001,100.0,1920,3.9957900047302246,0.00073,0.029642203822731972,166094,-8.37016487121582,-314.2530517578125
170095,22911,7,764.5640410199999,100.0,1930,6.349205017089844,0.00073,0.029612727463245392,167094,-0.5249723196029663,-317.54486083984375
171095,23052,7,764.14647909,100.0,1940,4.291706085205078,0.00073,0.029724957421422005,168094,-6.248661994934082,-321.19671630859375
172095,23192,7,762.22222153,100.0,1950,4.498714447021484,0.00073,0.03041243553161621,169094,-0.46197041869163513,-321.29339599609375
173095,23332,7,759.5861940400001,100.0,1960,3.5080909729003906,0.00073,0.030756939202547073,170094,-1.0448397397994995,-323.8677978515625
174095,23471,7,759.9376888700001,100.0,1970,4.688719272613525,0.00073,0.03086243011057377,171094,-2.9838905334472656,-324.5743408203125
175095,23610,7,759.8861038599998,100.0,1980,4.430237770080566,0.00073,0.02940570004284382,172094,-5.710371494293213,-323.3340759277344
176095,23750,7,760.0176189299999,100.0,1990,3.5414113998413086,0.00073,0.02869368903338909,173094,-5.49035120010376,-319.9633483886719
177095,23888,7,759.8377399499998,100.0,2000,15.147355079650879,0.00073,0.02971387468278408,174094,2.5542047023773193,-319.1966857910156
178095,24028,7,759.5938547400001,100.0,2010,4.499382495880127,0.00073,0.0293898805975914,175094,1.579287052154541,-321.80474853515625
179095,24168,7,759.3167736299998,100.0,2020,3.355137348175049,0.00073,0.030021119862794876,176094,0.5296109318733215,-318.0478515625
180095,24306,7,759.5711338200001,100.0,2030,4.208971977233887,0.00073,0.02901518903672695,177094,0.38470184803009033,-317.39434814453125
