rollout/ep_rew_mean,time/episodes,time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_len_mean,train/learning_rate,train/ent_coef_loss,train/ent_coef,train/actor_loss,train/critic_loss,train/n_updates
-7.630103849999999,1870,4799,38447,8,19.68,0.00073,1.8131506443023682,0.0011093924986198545,4.305697441101074,0.024290159344673157,35446
-7.487674309999999,1880,4827,38657,8,19.63,0.00073,8.769025802612305,0.0010707908077165484,4.143758773803711,0.021535972133278847,35656
-7.152917060000001,1890,4852,38842,8,19.13,0.00073,2.6181185245513916,0.0010710032656788826,3.9978082180023193,0.02119767852127552,35841
-6.96914679,1900,4874,39008,8,18.81,0.00073,8.155820846557617,0.0010517967166379094,4.049331188201904,0.02165483869612217,36007
-6.50574081,1910,4901,39208,7,18.97,0.00073,-15.357040405273438,0.0010281536960974336,4.135960578918457,0.02368372492492199,36207
-6.439495129999999,1920,4928,39403,7,19.0,0.00073,1.3972291946411133,0.0010263306321576238,4.149766445159912,0.020362859591841698,36402
-6.671450910000001,1930,4955,39603,7,19.13,0.00073,6.691197872161865,0.0010369442170485854,4.04288911819458,0.024307219311594963,36602
-6.752516950000001,1940,4982,39805,7,19.19,0.00073,1.3556015491485596,0.0010182756232097745,4.211568832397461,0.021917346864938736,36804
-6.392933770000001,1950,5007,39996,7,19.0,0.00073,3.66048002243042,0.0010175170609727502,4.074072360992432,0.023412397131323814,36995
-6.27335962,1960,5032,40185,7,19.03,0.00073,4.956853866577148,0.0010313218226656318,4.084906101226807,0.022000905126333237,37184
-6.39791937,1970,5060,40390,7,19.43,0.00073,3.016633987426758,0.0010038802865892649,4.157912254333496,0.023704499006271362,37389
-6.57517448,1980,5091,40623,7,19.66,0.00073,23.487533569335938,0.0009985208744183183,4.004770755767822,0.02052575722336769,37622
-6.6413291,1990,5114,40796,7,19.54,0.00073,-1.9496253728866577,0.0010117823258042336,4.0871195793151855,0.02006787434220314,37795
-6.68907513,2000,5135,40951,7,19.43,0.00073,8.170414924621582,0.0010188862215727568,4.150289535522461,0.020534738898277283,37950
-6.700764180000001,2010,5159,41130,7,19.22,0.00073,-15.091765403747559,0.0010349786607548594,4.064574241638184,0.020583873614668846,38129
-6.62180317,2020,5183,41312,7,19.09,0.00073,5.592931270599365,0.0009801480919122696,3.937361717224121,0.017345890402793884,38311
-6.45440559,2030,5209,41506,7,19.03,0.00073,-7.218610763549805,0.0009961131727322936,4.021517753601074,0.020598173141479492,38505
-6.47063344,2040,5235,41704,7,18.99,0.00073,-4.296146869659424,0.000983921461738646,4.008856773376465,0.02532193996012211,38703
-6.603258589999999,2050,5261,41897,7,19.01,0.00073,-8.39555835723877,0.0009452530066482723,4.165161609649658,0.022021036595106125,38896
-6.63190707,2060,5287,42087,7,19.02,0.00073,15.021684646606445,0.0009341585100628436,4.059301853179932,0.019386079162359238,39086
-6.54294476,2070,5314,42278,7,18.88,0.00073,5.678682327270508,0.0009575169533491135,4.051743030548096,0.018478821963071823,39277
-6.323569979999999,2080,5339,42465,7,18.42,0.00073,-1.4501385688781738,0.0009587601525709033,4.081480503082275,0.018893953412771225,39464
-6.262300389999999,2090,5363,42648,7,18.52,0.00073,5.211521148681641,0.0009585818625055254,3.88364577293396,0.02006775513291359,39647
-6.28007414,2100,5392,42859,7,19.08,0.00073,-11.07884407043457,0.0009649449493736029,3.9367918968200684,0.0174521803855896,39858
