time/time_elapsed,time/episodes,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,train/ent_coef,train/learning_rate,train/critic_loss,train/ent_coef_loss,train/actor_loss,train/n_updates
15125,1900,7,474.3522170299999,74.47,115388,0.05884615704417229,0.00073,19.78948211669922,11.92620849609375,-210.3428497314453,112387
15226,1910,7,467.89767634000003,74.47,116138,0.06317713111639023,0.00073,19.755895614624023,2.5314667224884033,-218.4376220703125,113137
15323,1920,7,453.01440949000005,74.13,116854,0.06529835611581802,0.00073,20.045696258544922,3.812462091445923,-218.51319885253906,113853
15424,1930,7,452.6806084199998,74.13,117604,0.06244625896215439,0.00073,18.08496856689453,-1.0376100540161133,-218.17584228515625,114603
15526,1940,7,452.81895838,74.13,118354,0.06113409250974655,0.00073,20.753442764282227,-0.7776247262954712,-222.2780303955078,115353
15628,1950,7,459.47917557,74.18,119104,0.06084120273590088,0.00073,17.737041473388672,-0.8074796199798584,-222.8572998046875,116103
15730,1960,7,463.99467711,74.22,119854,0.06162486970424652,0.00073,21.81519317626953,-0.788993775844574,-220.16232299804688,116853
15832,1970,7,467.5725203,74.28,120604,0.05951773375272751,0.00073,18.415874481201172,-3.30385422706604,-221.97174072265625,117603
15934,1980,7,471.2995207800001,74.28,121354,0.057957593351602554,0.00073,16.985923767089844,-0.674023449420929,-225.80267333984375,118353
16027,1990,7,467.1076175300001,74.08,122046,0.05800624191761017,0.00073,18.887483596801758,4.638100624084473,-222.47352600097656,119045
16113,2000,7,437.83985782999997,72.96,122684,0.06149020045995712,0.00073,21.939472198486328,-0.8931373357772827,-212.1796112060547,119683
16210,2010,7,434.77820352000003,72.6,123398,0.05928504467010498,0.00073,17.599748611450195,-4.079338073730469,-228.4487762451172,120397
16312,2020,7,445.31583684,72.94,124148,0.06212438642978668,0.00073,44.78274154663086,7.818963050842285,-228.53854370117188,121147
16413,2030,7,446.0789666399999,72.94,124898,0.061933211982250214,0.00073,18.965824127197266,-6.2777557373046875,-215.1001434326172,121897
16515,2040,7,446.4728473100001,72.94,125648,0.058771830052137375,0.00073,23.336652755737305,4.887951850891113,-213.1073760986328,122647
16617,2050,7,447.3931294799999,72.94,126398,0.06120678037405014,0.00073,16.20862579345703,3.518963098526001,-227.912353515625,123397
16718,2060,7,443.18197123,72.87,127141,0.05958669260144234,0.00073,18.966426849365234,0.9819800853729248,-230.219970703125,124140
16821,2070,7,443.62390045999996,72.87,127891,0.05974805727601051,0.00073,17.165128707885742,-0.003564208745956421,-220.37294006347656,124890
16923,2080,7,442.76436527000004,72.87,128641,0.059409815818071365,0.00073,17.937068939208984,-1.5167635679244995,-227.7274169921875,125640
17025,2090,7,451.18989443000004,73.45,129391,0.06140568107366562,0.00073,17.72608184814453,1.9017267227172852,-228.45364379882812,126390
17126,2100,7,460.15998298,74.51,130135,0.06399312615394592,0.00073,24.84185791015625,-1.0040016174316406,-233.9672088623047,127134
17229,2110,7,462.24156193000005,74.87,130885,0.06228097900748253,0.00073,17.495525360107422,-1.8651930093765259,-244.0123291015625,127884
17330,2120,7,461.93745300999996,74.87,131635,0.05893636867403984,0.00073,16.444419860839844,-4.77878999710083,-239.79576110839844,128634
17433,2130,7,456.70858449,74.87,132385,0.055659521371126175,0.00073,24.0220890045166,13.97841739654541,-237.0257110595703,129384
17530,2140,7,449.9903413100001,74.56,133104,0.05666063725948334,0.00073,24.770172119140625,9.505702018737793,-241.4909210205078,130103
17633,2150,7,450.4566922100001,74.56,133854,0.05706888064742088,0.00073,19.987873077392578,9.824296951293945,-240.08555603027344,130853
