time/total_timesteps,time/episodes,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/ent_coef,train/learning_rate,train/ent_coef_loss,train/critic_loss,train/actor_loss,train/n_updates
135000,1350,18413,100.0,779.1982953099999,7,0.01885463297367096,0.00073,-1.3614745140075684,0.29127365350723267,-392.68316650390625,131999
136000,1360,18555,100.0,779.2370526500001,7,0.019010422751307487,0.00073,-0.8335095047950745,0.6997983455657959,-393.9916076660156,132999
137000,1370,18693,100.0,779.31687989,7,0.017618177458643913,0.00073,-0.2808108627796173,0.5551874041557312,-393.6509094238281,133999
138000,1380,18835,100.0,779.5980842799999,7,0.017818937078118324,0.00073,1.8263912200927734,0.5692589282989502,-392.8753356933594,134999
139000,1390,18974,100.0,779.79868171,7,0.018481679260730743,0.00073,3.8991830348968506,0.6023030281066895,-393.7677307128906,135999
140000,1400,19115,100.0,779.71777158,7,0.01681992970407009,0.00073,0.16756442189216614,0.6328788995742798,-394.33160400390625,136999
141000,1410,19255,100.0,779.83706088,7,0.01796867325901985,0.00073,-0.08099222183227539,0.5746634006500244,-392.3955383300781,137999
142000,1420,19395,100.0,779.8353589100001,7,0.01688351482152939,0.00073,1.6547532081604004,0.7652207612991333,-393.45257568359375,138999
143000,1430,19535,100.0,779.8751845699999,7,0.017285626381635666,0.00073,0.28096669912338257,0.4625915288925171,-393.0224304199219,139999
144000,1440,19673,100.0,779.9585341900003,7,0.018041184172034264,0.00073,-1.1594904661178589,0.2733306884765625,-394.00787353515625,140999
145000,1450,19813,100.0,780.2795419,7,0.016409102827310562,0.00073,1.0752089023590088,0.8101887702941895,-391.50396728515625,141999
146000,1460,19953,100.0,780.4400728600001,7,0.01733841747045517,0.00073,1.633714199066162,1.4740502834320068,-392.5736389160156,142999
147000,1470,20092,100.0,780.68183288,7,0.015895172953605652,0.00073,1.3090866804122925,0.5229315757751465,-393.09637451171875,143999
148000,1480,20233,100.0,780.6802953799998,7,0.0163092240691185,0.00073,-2.136486530303955,0.32386350631713867,-394.3687438964844,144999
149000,1490,20374,100.0,780.76177976,7,0.016306789591908455,0.00073,-0.34052199125289917,0.5241243839263916,-392.85699462890625,145999
150000,1500,20513,100.0,781.0445324300001,7,0.016027970239520073,0.00073,-1.822587490081787,0.9665921926498413,-394.108642578125,146999
151000,1510,20655,100.0,781.1646747300001,7,0.015681711956858635,0.00073,-1.3404672145843506,0.6102437376976013,-393.576171875,147999
152000,1520,20794,100.0,781.00601842,7,0.017203308641910553,0.00073,-0.18446040153503418,0.43369466066360474,-394.20172119140625,148999
153000,1530,20933,100.0,780.5256416599998,7,0.017628101631999016,0.00073,-1.3286371231079102,0.46008753776550293,-393.357177734375,149999
154000,1540,21071,100.0,780.6857776,7,0.01737711951136589,0.00073,-2.4369442462921143,0.23705023527145386,-394.213134765625,150999
155000,1550,21211,100.0,780.6053146299997,7,0.016425354406237602,0.00073,-0.8782568573951721,0.3682575225830078,-394.2161865234375,151999
156000,1560,21352,100.0,780.5666400899999,7,0.01668688841164112,0.00073,1.9798951148986816,0.845203697681427,-393.9123840332031,152999
157000,1570,21493,100.0,780.4865501499999,7,0.015443846583366394,0.00073,-2.9804248809814453,0.7795743346214294,-393.3802795410156,153999
158000,1580,21634,100.0,780.5695726600002,7,0.01582261361181736,0.00073,-2.335040807723999,0.3589465320110321,-394.5595703125,154999
159000,1590,21775,100.0,780.57020569,7,0.016589786857366562,0.00073,-0.5783671736717224,0.37202849984169006,-394.44354248046875,155999
160000,1600,21919,100.0,780.6102196500001,7,0.017012696713209152,0.00073,0.44346410036087036,0.4763478934764862,-394.2012023925781,156999
161000,1610,22061,100.0,780.69211373,7,0.015635091811418533,0.00073,0.38983333110809326,0.44791752099990845,-394.27874755859375,157999
162000,1620,22203,100.0,780.9324503,7,0.015528515912592411,0.00073,0.04005616903305054,2.228903293609619,-394.73370361328125,158999
163000,1630,22346,100.0,781.5342567999999,7,0.016039874404668808,0.00073,-0.8705322742462158,0.5840131044387817,-393.8988037109375,159999
164000,1640,22486,100.0,781.5338005699999,7,0.015104337595403194,0.00073,-0.4538657069206238,0.4291529059410095,-394.6868896484375,160999
165000,1650,22628,100.0,781.6545054800001,7,0.01548183336853981,0.00073,-1.2377207279205322,0.3811582922935486,-394.0843811035156,161999
166000,1660,22772,100.0,781.77306686,7,0.015364774502813816,0.00073,-2.09921932220459,0.5642170906066895,-394.51312255859375,162999
167000,1670,22912,100.0,781.8502748699998,7,0.014892731793224812,0.00073,1.1655772924423218,0.6666148900985718,-395.02691650390625,163999
168000,1680,23057,100.0,781.80587706,7,0.015532655641436577,0.00073,1.421795129776001,0.48795267939567566,-394.7217102050781,164999
169000,1690,23199,100.0,781.96503577,7,0.014348044991493225,0.00073,-1.8372740745544434,0.6358538866043091,-394.4169921875,165999
170000,1700,23341,100.0,781.9632809999999,7,0.016118453815579414,0.00073,-0.11421205848455429,0.6100088357925415,-395.0052490234375,166999
171000,1710,23484,100.0,781.9207882699999,7,0.01545522827655077,0.00073,0.7298974394798279,0.5829818844795227,-394.3117370605469,167999
172000,1720,23626,100.0,781.8406757099999,7,0.015885889530181885,0.00073,-0.4391753673553467,0.6067485809326172,-394.722412109375,168999
173000,1730,23769,100.0,781.8365648499998,7,0.019121775403618813,0.00073,-0.4433305263519287,0.9829556941986084,-393.5797424316406,169999
174000,1740,23911,100.0,781.75502833,7,0.015517220832407475,0.00073,1.3718994855880737,0.8396750688552856,-392.12713623046875,170999
175000,1750,24054,100.0,781.8765725199999,7,0.01638237200677395,0.00073,0.09543363749980927,0.5278040170669556,-394.6303405761719,171999
176000,1760,24198,100.0,781.9554452500001,7,0.015855535864830017,0.00073,0.16409599781036377,0.5974475145339966,-395.17083740234375,172999
177000,1770,24340,100.0,782.0345466599997,7,0.015686266124248505,0.00073,-2.4497230052948,0.3914945423603058,-394.81695556640625,173999
178000,1780,24482,100.0,782.1139986799999,7,0.017119847238063812,0.00073,-1.1609375476837158,1.2940151691436768,-393.508544921875,174999
179000,1790,24626,100.0,781.99232556,7,0.016296496614813805,0.00073,0.21099311113357544,0.5252447128295898,-394.9563293457031,175999
180000,1800,24768,100.0,782.0725735899999,7,0.01616404950618744,0.00073,-0.25798946619033813,1.068608283996582,-395.19317626953125,176999
181000,1810,24911,100.0,782.11322581,7,0.016562415286898613,0.00073,-1.2588980197906494,0.43449342250823975,-393.8253479003906,177999
182000,1820,25054,100.0,782.2718539499999,7,0.016216987743973732,0.00073,-2.5112152099609375,0.455949991941452,-394.541748046875,178999
183000,1830,25196,100.0,782.2756845700001,7,0.014704620465636253,0.00073,-0.38228097558021545,1.5452673435211182,-392.85302734375,179999
184000,1840,25337,100.0,782.3952654500001,7,0.014403034001588821,0.00073,0.0930188000202179,0.7501153945922852,-394.1790771484375,180999
185000,1850,25478,100.0,782.4337015499998,7,0.014137310907244682,0.00073,-0.2547701597213745,0.426643431186676,-395.8782958984375,181999
186000,1860,25621,100.0,782.5530901699999,7,0.014345548115670681,0.00073,3.8172807693481445,0.9309914708137512,-393.9285583496094,182999
187000,1870,25763,100.0,782.43490708,7,0.014439087361097336,0.00073,1.4660940170288086,0.5498065948486328,-393.9881286621094,183999
