time/time_elapsed,time/fps,time/total_timesteps,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,train/learning_rate,train/actor_loss,train/critic_loss,train/ent_coef_loss,train/ent_coef,train/n_updates
5336,7,40666,1850,22.11,-9.09587649,0.00073,4.302780628204346,0.0392330139875412,-12.644865036010742,0.0015549084637314081,37665
5364,7,40863,1860,22.27,-9.10861391,0.00073,4.314682960510254,0.04641938582062721,-4.3472490310668945,0.0015468624187633395,37862
5393,7,41074,1870,22.29,-9.08310351,0.00073,4.540796279907227,0.04908687621355057,6.939489364624023,0.0015439935959875584,38073
5423,7,41300,1880,21.93,-8.940742550000001,0.00073,4.24343204498291,0.04974508285522461,-0.3137472867965698,0.0015581875341013074,38299
5454,7,41523,1890,21.41,-8.9476145,0.00073,4.275002956390381,0.038810499012470245,-9.656550407409668,0.0015557545702904463,38522
5489,7,41779,1900,21.33,-8.8586987,0.00073,4.275613784790039,0.03740672767162323,5.32893180847168,0.0015296634519472718,38778
5526,7,42047,1910,21.7,-9.01420272,0.00073,4.24517822265625,0.044960975646972656,-16.140026092529297,0.0014833149034529924,39046
5553,7,42248,1920,21.63,-8.98951569,0.00073,4.311394214630127,0.04113711416721344,8.396114349365234,0.001393382903188467,39247
5580,7,42442,1930,21.68,-8.81075837,0.00073,4.314670562744141,0.033217936754226685,-7.2965989112854,0.0013888649409636855,39441
5605,7,42626,1940,21.46,-8.72129503,0.00073,4.366617679595947,0.04817931354045868,12.573152542114258,0.0014246287755668163,39625
5627,7,42796,1950,21.3,-8.64493706,0.00073,4.276180267333984,0.036965347826480865,3.7922563552856445,0.0014339222107082605,39795
5651,7,42972,1960,21.09,-8.62966766,0.00073,4.347495079040527,0.03577865660190582,-4.208334922790527,0.001394052873365581,39971
5681,7,43189,1970,21.15,-8.60876646,0.00073,4.427083969116211,0.03718997910618782,15.820137023925781,0.001404690439812839,40188
5710,7,43404,1980,21.04,-8.44667788,0.00073,4.3907012939453125,0.03569072484970093,-2.4603984355926514,0.0014271172694861889,40403
5746,7,43660,1990,21.37,-8.40937445,0.00073,4.3505449295043945,0.03543209657073021,-2.316824436187744,0.0013937989715486765,40659
5774,7,43870,2000,20.91,-8.36511159,0.00073,4.308159828186035,0.042349446564912796,-2.0290675163269043,0.0013864372158423066,40869
5803,7,44075,2010,20.28,-8.090628039999999,0.00073,4.220076560974121,0.03494704142212868,11.732097625732422,0.0014384817332029343,41074
5836,7,44313,2020,20.65,-8.105319790000003,0.00073,4.26045036315918,0.03650415316224098,-17.853717803955078,0.0014353676233440638,41312
5866,7,44532,2030,20.9,-8.32950115,0.00073,4.410214424133301,0.04779011011123657,-2.8008604049682617,0.0013953816378489137,41531
5894,7,44735,2040,21.09,-8.293405589999999,0.00073,4.214095592498779,0.029558397829532623,-1.918663501739502,0.0013525830581784248,41734
5916,7,44901,2050,21.05,-8.37419587,0.00073,4.312078475952148,0.03939797356724739,1.1419981718063354,0.0013865205692127347,41900
5941,7,45086,2060,21.14,-8.501191100000002,0.00073,4.405752182006836,0.03764472156763077,20.513141632080078,0.0013311675284057856,42085
5969,7,45293,2070,21.04,-8.62786508,0.00073,4.3182172775268555,0.03822498768568039,-9.428628921508789,0.0013116576010361314,42292
5996,7,45489,2080,20.85,-8.54644001,0.00073,4.520840167999268,0.030380649492144585,10.964385032653809,0.0013116750633344054,42488
6022,7,45681,2090,20.21,-8.17182691,0.00073,4.3739728927612305,0.03849156200885773,-6.281158447265625,0.001393883372657001,42680
6047,7,45869,2100,19.99,-7.980528709999999,0.00073,4.509218215942383,0.03244467079639435,1.6581553220748901,0.0013491755817085505,42868
6074,7,46063,2110,19.88,-7.79526,0.00073,4.477513313293457,0.03169593587517738,14.616035461425781,0.0013778897700831294,43062
6102,7,46275,2120,19.62,-7.656044859999998,0.00073,4.268496513366699,0.03239842504262924,-2.551114082336426,0.0013912372523918748,43274
