time/fps,time/episodes,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,train/actor_loss,train/learning_rate,train/ent_coef,train/n_updates,train/ent_coef_loss,train/critic_loss
6,1440,200.0,43213,284394,1655.03240426,-471.6026916503906,0.00073,0.039636336266994476,281393,2.3903446197509766,50.316123962402344
6,1450,200.0,43617,286394,1651.7842058700005,-450.9444885253906,0.00073,0.040227532386779785,283393,-3.9124178886413574,44.238243103027344
6,1460,200.0,43950,288394,1648.1107918800003,-423.34136962890625,0.00073,0.0398591123521328,285393,4.188754081726074,46.17230224609375
6,1470,200.0,44293,290394,1634.5833978599999,-436.6195373535156,0.00073,0.039708808064460754,287393,5.416855812072754,49.32640075683594
6,1480,200.0,44611,292394,1613.38450379,-460.8145751953125,0.00073,0.038232747465372086,289393,-3.37135648727417,43.505836486816406
6,1490,200.0,44941,294394,1607.0861543600006,-456.5860290527344,0.00073,0.038314592093229294,291393,6.995858192443848,38.650238037109375
6,1500,200.0,45262,296394,1598.2075823399998,-437.05584716796875,0.00073,0.03839384391903877,293393,0.5370244979858398,52.941986083984375
6,1510,200.0,45585,298394,1559.9086163099998,-434.5400085449219,0.00073,0.03868091478943825,295393,4.651416778564453,56.47672653198242
6,1520,200.0,45898,300394,1545.82428299,-455.001953125,0.00073,0.03951272368431091,297393,-9.201163291931152,48.53125
6,1530,200.0,46203,302394,1533.50410207,-417.37530517578125,0.00073,0.038615886121988297,299393,3.7396440505981445,45.44357681274414
6,1540,200.0,46515,304394,1521.89560928,-452.354248046875,0.00073,0.038660336285829544,301393,-4.985011577606201,42.06781005859375
6,1550,200.0,46819,306394,1473.7081739500002,-460.998291015625,0.00073,0.03740803152322769,303393,5.93339204788208,42.90658950805664
6,1560,200.0,47121,308394,1505.0688849800001,-476.78314208984375,0.00073,0.03697541356086731,305393,-12.786181449890137,50.82794189453125
6,1570,200.0,47420,310394,1561.7406237899997,-478.4245300292969,0.00073,0.0365927554666996,307393,-3.549376964569092,37.09718704223633
6,1580,200.0,47738,312394,1541.0933966900002,-443.4972229003906,0.00073,0.03505837917327881,309393,12.086397171020508,40.33458709716797
6,1590,200.0,48068,314394,1542.7192505400005,-471.48187255859375,0.00073,0.03660006821155548,311393,10.97873306274414,53.73951721191406
6,1600,200.0,48402,316394,1584.8123759300004,-470.648193359375,0.00073,0.03674199432134628,313393,-4.672723770141602,45.0082893371582
6,1610,200.0,48747,318394,1605.2367402999998,-482.70361328125,0.00073,0.036144085228443146,315393,-7.178673267364502,51.840782165527344
6,1620,200.0,49107,320394,1600.7613788299998,-477.86968994140625,0.00073,0.03662637993693352,317393,-1.5939911603927612,47.59653854370117
6,1630,200.0,49456,322394,1569.89318652,-490.75848388671875,0.00073,0.0344296433031559,319393,-3.895510196685791,49.27085494995117
6,1640,200.0,49793,324394,1560.4866342800003,-457.9395751953125,0.00073,0.03549010306596756,321393,13.581984519958496,65.55561828613281
6,1650,200.0,50133,326394,1597.8213516700007,-470.651123046875,0.00073,0.03567741438746452,323393,4.690601348876953,41.12057876586914
6,1660,200.0,50499,328394,1608.1859891699999,-457.4252624511719,0.00073,0.03542400151491165,325393,-0.3204241394996643,38.60871887207031
6,1670,200.0,50840,330394,1617.0173556500001,-483.04766845703125,0.00073,0.03412602096796036,327393,-3.0694053173065186,46.009315490722656
6,1680,200.0,51196,332394,1676.93870695,-490.89776611328125,0.00073,0.03363620489835739,329393,8.458514213562012,52.146217346191406
6,1690,200.0,51552,334394,1631.36472435,-482.6900634765625,0.00073,0.033613573759794235,331393,1.852585792541504,39.629913330078125
6,1700,200.0,51921,336394,1571.34326375,-509.4067077636719,0.00073,0.03505594655871391,333393,-14.022608757019043,37.80736541748047
6,1710,200.0,52302,338394,1506.98692609,-472.60308837890625,0.00073,0.03314664214849472,335393,-4.0329670906066895,44.250511169433594
6,1720,200.0,52675,340394,1539.05975827,-484.48223876953125,0.00073,0.03391242399811745,337393,6.03934907913208,33.02180099487305
6,1730,200.0,53052,342394,1591.3804356399996,-491.45111083984375,0.00073,0.033026035875082016,339393,-5.8260297775268555,44.843265533447266
6,1740,200.0,53419,344394,1606.8957665499995,-481.394775390625,0.00073,0.03370034694671631,341393,2.6146397590637207,42.53900146484375
6,1750,200.0,53761,346394,1624.15102375,-509.764404296875,0.00073,0.03435584530234337,343393,-6.503950119018555,36.22278594970703
6,1760,200.0,54093,348394,1602.02316321,-508.1776123046875,0.00073,0.031782373785972595,345393,5.998645782470703,34.79085922241211
6,1770,200.0,54419,350394,1612.7243936,-493.61138916015625,0.00073,0.034473203122615814,347393,9.004682540893555,48.44368362426758
6,1780,200.0,54740,352394,1594.5373971399997,-493.3177795410156,0.00073,0.03312944248318672,349393,3.4482383728027344,35.29373550415039
6,1790,200.0,55038,354394,1617.0200562900002,-504.811767578125,0.00073,0.03310281038284302,351393,2.1454100608825684,37.424232482910156
6,1800,200.0,55337,356394,1688.8093722200001,-481.75921630859375,0.00073,0.032781559973955154,353393,-4.129960060119629,36.947998046875
6,1810,200.0,55656,358394,1722.1076186000003,-509.697265625,0.00073,0.0318964421749115,355393,4.986668586730957,38.852447509765625
6,1820,200.0,55999,360394,1718.5157376500001,-491.148193359375,0.00073,0.03254366293549538,357393,3.3354759216308594,40.378173828125
6,1830,200.0,56317,362394,1682.1760376700006,-521.6678466796875,0.00073,0.03203970938920975,359393,-13.0714750289917,37.529518127441406
6,1840,200.0,56631,364394,1719.0570493399998,-507.38153076171875,0.00073,0.03168764337897301,361393,2.65417218208313,37.57872772216797
6,1850,200.0,56940,366394,1695.8854496899999,-514.2255249023438,0.00073,0.03096139430999756,363393,-2.780322790145874,41.40324401855469
6,1860,200.0,57284,368394,1742.5300728300003,-513.1328125,0.00073,0.032088980078697205,365393,0.2074803113937378,30.68142318725586
6,1870,200.0,57639,370394,1715.1119017000005,-517.2965698242188,0.00073,0.03136580064892769,367393,5.38388204574585,28.508373260498047
6,1880,200.0,57990,372394,1718.24979323,-522.6698608398438,0.00073,0.030953768640756607,369393,-5.59767484664917,33.99576950073242
6,1890,200.0,58320,374394,1769.3561390000002,-514.6863403320312,0.00073,0.029830917716026306,371393,9.700060844421387,29.969017028808594
6,1900,200.0,58658,376394,1775.79276845,-535.3344116210938,0.00073,0.031014055013656616,373393,-5.444267272949219,32.7495231628418
6,1910,200.0,59001,378394,1825.5562564300008,-528.533447265625,0.00073,0.030132003128528595,375393,0.4054417014122009,34.937923431396484
6,1920,200.0,59346,380394,1845.53792002,-521.9982299804688,0.00073,0.0309950802475214,377393,12.162257194519043,31.79608726501465
