time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/episodes,train/ent_coef,train/n_updates,train/learning_rate,train/critic_loss,train/ent_coef_loss,train/actor_loss
7,583000,82464,673.29098983,100.0,5830,0.026777060702443123,579999,0.00073,1.3026869297027588,-1.0682718753814697,-297.38751220703125
7,584000,82609,673.5261222900001,100.0,5840,0.026551563292741776,580999,0.00073,1.2432043552398682,2.6936891078948975,-298.0124206542969
7,585000,82754,673.82015626,100.0,5850,0.025655537843704224,581999,0.00073,0.883897066116333,-2.8596339225769043,-301.4412841796875
7,586000,82900,673.96208625,100.0,5860,0.02674209140241146,582999,0.00073,1.2991631031036377,4.724556922912598,-296.9725036621094
7,587000,83046,674.00879092,100.0,5870,0.02634335495531559,583999,0.00073,0.8344458341598511,0.8554099202156067,-302.0099182128906
7,588000,83195,674.2024102999999,100.0,5880,0.02609933540225029,584999,0.00073,1.4848566055297852,6.525453567504883,-302.0845642089844
7,589000,83340,674.4245375699998,100.0,5890,0.02654815837740898,585999,0.00073,1.0684133768081665,-2.6942596435546875,-296.67169189453125
7,590000,83485,674.13760943,100.0,5900,0.02670608088374138,586999,0.00073,1.0732520818710327,-4.927190780639648,-299.9012756347656
7,591000,83632,674.1376893899999,100.0,5910,0.02719680592417717,587999,0.00073,1.2511117458343506,0.4320451021194458,-300.94482421875
7,592000,83776,673.96149796,100.0,5920,0.0278165340423584,588999,0.00073,1.8780453205108643,2.8488047122955322,-302.6636047363281
7,593000,83924,673.8401083299999,100.0,5930,0.02668139897286892,589999,0.00073,2.945882558822632,9.569829940795898,-302.04290771484375
7,594000,84073,662.43464481,100.0,5940,0.029268983751535416,590999,0.00073,2.385815143585205,4.873939514160156,-308.56109619140625
7,595000,84222,562.34203271,100.0,5950,0.02691049501299858,591999,0.00073,1.9490978717803955,1.2881643772125244,-310.1803283691406
7,596000,84371,486.1838309500001,100.0,5960,0.025285128504037857,592999,0.00073,1.9093149900436401,-1.3337864875793457,-303.5347900390625
7,597000,84522,484.49966765000005,100.0,5970,0.027289239689707756,593999,0.00073,2.0878100395202637,-0.5601809024810791,-305.01165771484375
7,598000,84671,483.22981962,100.0,5980,0.028137903660535812,594999,0.00073,1.5659806728363037,2.594536542892456,-306.75048828125
7,599000,84819,480.54725471,100.0,5990,0.029914140701293945,595999,0.00073,1.8939666748046875,7.876924514770508,-306.94122314453125
