time/episodes,time/total_timesteps,time/fps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,train/ent_coef,train/learning_rate,train/actor_loss,train/ent_coef_loss,train/critic_loss,train/n_updates
1180,45962,7,-6.040293510000001,5888,42.14,0.011930643580853939,0.00073,-22.454753875732422,7.757506847381592,0.6246893405914307,42961
1190,46456,7,-5.610789840000001,5956,44.21,0.011094708926975727,0.00073,-23.573379516601562,0.33085915446281433,0.8588583469390869,43455
1200,46956,7,-5.625566859999999,6025,45.26,0.010726872831583023,0.00073,-23.14995574951172,-3.4405946731567383,0.5744481086730957,43955
1210,47409,7,-4.92150758,6087,45.49,0.010835540480911732,0.00073,-22.168296813964844,-1.5805505514144897,0.646987795829773,44408
1220,47725,7,-4.45081433,6130,43.84,0.010959434323012829,0.00073,-21.389514923095703,-3.418818950653076,0.7805535793304443,44724
1230,48049,7,-4.096745760000001,6174,42.08,0.011190302670001984,0.00073,-23.07477569580078,1.2575442790985107,0.5979984402656555,45048
1240,48391,7,-3.4781491300000003,6222,40.81,0.011578273959457874,0.00073,-24.428884506225586,2.6748862266540527,0.769832968711853,45390
1250,48670,7,-3.0423977099999995,6261,38.6,0.011444632895290852,0.00073,-23.491588592529297,5.102238655090332,1.0548419952392578,45669
1260,49170,7,-2.45984216,6330,38.62,0.01141530554741621,0.00073,-22.012847900390625,2.813460111618042,0.624758243560791,46169
1270,49667,7,-3.49766668,6399,40.17,0.01201168354600668,0.00073,-24.944034576416016,3.875814914703369,0.8089984655380249,46666
1280,50167,7,-4.3563405799999995,6468,42.05,0.011323133483529091,0.00073,-24.99361801147461,-2.0231990814208984,0.9032561779022217,47166
1290,50667,7,-5.885520939999999,6536,42.11,0.010978934355080128,0.00073,-23.417261123657227,-2.3566808700561523,1.377321481704712,47666
1300,51125,7,-5.42975725,6599,41.69,0.011901602149009705,0.00073,-23.060020446777344,3.718456268310547,0.6964784264564514,48124
1310,51625,7,-4.98391843,6668,42.16,0.011742612347006798,0.00073,-24.189775466918945,4.482660293579102,1.579279899597168,48624
1320,52125,7,-5.12339609,6736,44.0,0.011036609299480915,0.00073,-24.86009979248047,-1.5991581678390503,0.7388721704483032,49124
1330,52625,7,-4.97502982,6805,45.76,0.011627343483269215,0.00073,-24.21651268005371,-2.5540976524353027,0.8932168483734131,49624
1340,53110,7,-4.55355927,6872,47.19,0.011386112309992313,0.00073,-25.339534759521484,2.6577439308166504,0.868382453918457,50109
1350,53403,7,-4.528881339999999,6912,47.33,0.011745300143957138,0.00073,-25.470134735107422,-2.8917579650878906,0.5995591878890991,50402
1360,53670,7,-4.799455110000001,6949,45.0,0.01143266074359417,0.00073,-25.075942993164062,-12.042551040649414,4.913973808288574,50669
1370,54156,7,-4.5263875,7016,44.89,0.011800483800470829,0.00073,-25.871431350708008,-3.4829344749450684,0.7595841884613037,51155
1380,54656,7,-4.54160272,7085,44.89,0.01102986466139555,0.00073,-25.441499710083008,7.444814682006836,0.6102131605148315,51655
1390,55156,7,-3.1266483100000007,7154,44.89,0.011151348240673542,0.00073,-24.818254470825195,-3.224325656890869,1.1655765771865845,52155
1400,55642,7,-2.7147683300000005,7221,45.17,0.010667662136256695,0.00073,-24.151762008666992,-5.359875679016113,0.7105729579925537,52641
1410,56142,7,-2.988249900000001,7291,45.17,0.010021274909377098,0.00073,-23.808162689208984,8.499398231506348,0.7463732957839966,53141
1420,56642,7,-3.9145964199999996,7361,45.17,0.009638229385018349,0.00073,-22.90756607055664,3.5113112926483154,0.44583195447921753,53641
1430,57133,7,-3.8458864600000005,7430,45.08,0.00918163638561964,0.00073,-21.898752212524414,15.515987396240234,0.8458383083343506,54132
1440,57557,7,-4.06894581,7490,44.47,0.00954414065927267,0.00073,-20.883934020996094,-3.37990665435791,0.34710952639579773,54556
1450,57681,7,-4.380679369999999,7508,42.78,0.009904660284519196,0.00073,-21.630699157714844,-1.1845649480819702,0.6335839033126831,54680
1460,57958,7,-4.64109135,7547,42.88,0.009436466731131077,0.00073,-21.332502365112305,8.713323593139648,0.5355033278465271,54957
1470,58276,7,-3.8636538299999996,7593,41.2,0.009463327005505562,0.00073,-20.334388732910156,-2.712616443634033,1.1075750589370728,55275
1480,58635,7,-2.8450649599999998,7643,39.79,0.009490608237683773,0.00073,-20.133756637573242,4.847192764282227,0.6954611539840698,55634
1490,59105,7,-2.86634274,7707,39.49,0.00925099290907383,0.00073,-20.27959632873535,1.586432695388794,0.5720326900482178,56104
1500,59591,7,1.0192668499999997,7773,39.49,0.008864203467965126,0.00073,-20.493162155151367,-4.404529094696045,0.38488906621932983,56590
1510,60004,7,1.00054536,7829,38.62,0.009496085345745087,0.00073,-18.85232925415039,2.593903064727783,0.8773993253707886,57003
1520,60500,7,2.4714199700000004,7897,38.58,0.009614338167011738,0.00073,-20.06623077392578,1.9121413230895996,1.7359402179718018,57499
1530,60920,7,2.5708568100000004,7956,37.87,0.011273423209786415,0.00073,-22.793790817260742,6.0798420906066895,2.9795119762420654,57919
1540,61109,7,1.9859575700000005,7983,35.52,0.012778190895915031,0.00073,-22.786855697631836,-3.316581964492798,0.9109037518501282,58108
1550,61466,7,2.02334515,8032,37.85,0.013529901392757893,0.00073,-27.736690521240234,3.615027666091919,2.2645556926727295,58465
1560,61949,7,2.4645104499999992,8097,39.91,0.0154373524710536,0.00073,-30.293224334716797,-1.305703043937683,2.4751791954040527,58948
1570,62284,7,21.17527354,8143,40.08,0.017952408641576767,0.00073,-31.44469451904297,-3.8636538982391357,11.357309341430664,59283
1580,62620,7,37.04452387,8188,39.85,0.019276142120361328,0.00073,-38.54279327392578,4.541302680969238,3.980785369873047,59619
1590,62931,7,75.21216147000001,8230,38.26,0.025195229798555374,0.00073,-45.86720275878906,12.209543228149414,19.589017868041992,59930
1600,63379,7,106.89999553999998,8291,37.88,0.0365738645195961,0.00073,-71.18396759033203,6.278256893157959,23.777772903442383,60378
1610,63780,7,129.82116952999996,8346,37.76,0.04989895224571228,0.00073,-95.18229675292969,18.217376708984375,31.224037170410156,60779
1620,64135,7,161.83270055,8394,36.35,0.06312558799982071,0.00073,-114.72624206542969,8.852853775024414,75.92864227294922,61134
1630,64515,7,229.46421813,8446,35.95,0.07672195881605148,0.00073,-142.98077392578125,5.182464599609375,33.8311767578125,61514
1640,64923,7,271.06920623,8502,38.14,0.09248404204845428,0.00073,-167.99131774902344,11.47642993927002,88.47095489501953,61922
1650,65360,7,313.64607847,8561,38.94,0.10303672403097153,0.00073,-190.97006225585938,1.255884051322937,79.26341247558594,62359
1660,65860,7,321.65494443000006,8629,39.11,0.10586582124233246,0.00073,-204.99847412109375,-5.461095809936523,138.32513427734375,62859
1670,66360,7,326.42938226999996,8698,40.76,0.11009524017572403,0.00073,-211.4994659423828,-7.344222545623779,92.12519073486328,63359
1680,66844,7,319.79205808,8764,42.24,0.11597080528736115,0.00073,-235.57269287109375,0.5289379358291626,256.86981201171875,63843
1690,67300,7,315.66653432000004,8827,43.69,0.12438831478357315,0.00073,-254.77099609375,7.1123270988464355,179.73680114746094,64299
1700,67779,7,314.23260116,8893,44.0,0.13006548583507538,0.00073,-273.890625,0.3102201223373413,100.55183410644531,64778
1710,68249,7,306.16345552999996,8958,44.69,0.13052543997764587,0.00073,-282.6513671875,-2.146841287612915,93.26004028320312,65248
1720,68587,7,322.37218422999996,9005,44.52,0.14073392748832703,0.00073,-317.24481201171875,3.1489367485046387,196.1925811767578,65586
1730,68963,7,287.93858508,9057,44.48,0.15650515258312225,0.00073,-320.92535400390625,-2.730501651763916,222.306396484375,65962
1740,69446,7,275.92984511,9123,45.23,0.16447381675243378,0.00073,-363.14007568359375,-4.063329219818115,244.59075927734375,66445
1750,69946,7,308.79990201,9194,45.86,0.17877796292304993,0.00073,-408.3878173828125,0.8833720088005066,366.6513671875,66945
1760,70417,7,417.9058126499999,9261,45.57,0.1905636340379715,0.00073,-441.38726806640625,0.6112123131752014,287.1300048828125,67416
1770,70917,7,553.55634624,9331,45.57,0.2015327662229538,0.00073,-472.2948913574219,2.2363572120666504,297.76324462890625,67916
1780,71373,7,660.8386170399999,9395,45.29,0.22151492536067963,0.00073,-488.79583740234375,2.293153762817383,407.9539794921875,68372
1790,71845,7,730.5734787,9461,45.45,0.23855309188365936,0.00073,-548.5791625976562,1.1686863899230957,261.8887939453125,68844
1800,72345,7,693.92672469,9531,45.66,0.25640055537223816,0.00073,-607.7367553710938,0.68502277135849,989.0703125,69344
1810,72845,7,678.1586373,9600,45.96,0.2559758424758911,0.00073,-619.547607421875,-1.4736812114715576,462.4193115234375,69844
1820,73345,7,689.87537836,9669,47.58,0.26313045620918274,0.00073,-643.296630859375,0.6654388904571533,656.2042236328125,70344
1830,73845,7,698.49512582,9739,48.82,0.2665070593357086,0.00073,-664.3405151367188,-1.9923235177993774,561.47265625,70844
1840,74222,7,739.2552111800002,9792,47.76,0.26735004782676697,0.00073,-695.7368774414062,-1.7409062385559082,419.97265625,71221
1850,74524,7,692.15676646,9834,45.78,0.2672821879386902,0.00073,-678.5747680664062,-2.630180597305298,1005.794921875,71523
1860,74961,7,575.2171453,9894,45.44,0.2634022533893585,0.00073,-711.1775512695312,2.001901388168335,4054.512939453125,71960
1870,75461,7,415.4242711399999,9964,45.44,0.2476094365119934,0.00073,-693.9833984375,-4.261361122131348,307.3884582519531,72460
1880,75961,7,295.13058498,10032,45.88,0.25126364827156067,0.00073,-718.2258911132812,-0.2526189982891083,498.11907958984375,72960
1890,76461,7,187.41277170999993,10101,46.16,0.25211870670318604,0.00073,-739.2178344726562,-3.169443368911743,367.3036804199219,73460
1900,76789,7,225.35242014999997,10147,44.44,0.27540427446365356,0.00073,-754.8543090820312,2.546349048614502,761.6927490234375,73788
1910,77173,7,300.04460781999995,10200,43.28,0.2718544602394104,0.00073,-751.9789428710938,2.0625486373901367,717.19189453125,74172
1920,77568,7,310.49762992,10256,42.23,0.2854136824607849,0.00073,-751.2359619140625,-0.0395122766494751,865.8939208984375,74567
1930,78004,7,369.32300689000004,10319,41.59,0.2915275990962982,0.00073,-773.9828491210938,1.710503339767456,560.43701171875,75003
1940,78504,7,298.73004447,10388,42.82,0.2822876572608948,0.00073,-794.09765625,3.684083938598633,1440.175048828125,75503
1950,78943,7,270.11902021000003,10448,44.19,0.28372934460639954,0.00073,-795.319580078125,-0.21814459562301636,934.7645263671875,75942
1960,79443,7,332.49906713,10518,44.82,0.2968814969062805,0.00073,-799.537841796875,2.552186965942383,619.375,76442
1970,79943,7,464.25644843000003,10588,44.82,0.2959694564342499,0.00073,-781.2564086914062,0.21773259341716766,614.26611328125,76942
1980,80434,7,587.3387768499999,10656,44.73,0.29499396681785583,0.00073,-773.9872436523438,-2.4094369411468506,535.2326049804688,77433
1990,80898,7,720.1828265,10720,44.37,0.2990809679031372,0.00073,-795.6639404296875,0.5149919986724854,1248.609619140625,77897
2000,81398,7,803.9684442899999,10790,46.09,0.2907261252403259,0.00073,-789.8389892578125,-2.384552001953125,450.70428466796875,78397
2010,81796,7,730.4586135299999,10845,46.23,0.2990396320819855,0.00073,-800.7673950195312,-0.4952378571033478,831.8948364257812,78795
2020,82008,7,659.5270895100001,10874,44.4,0.29260939359664917,0.00073,-791.41845703125,2.1630988121032715,1145.91796875,79007
