rollout/ep_len_mean,time/time_elapsed,time/fps,time/total_timesteps,rollout/ep_rew_mean,time/episodes,train/learning_rate,train/actor_loss,train/n_updates,train/ent_coef_loss,train/critic_loss,train/ent_coef
200.0,50476,7,359398,1350.0581515,1820,0.00073,-442.4209899902344,356397,0.5056799650192261,51.05012512207031,0.031915392726659775
200.0,50763,7,361398,1321.22173192,1830,0.00073,-443.72198486328125,358397,-11.042221069335938,57.90216064453125,0.03167852759361267
200.0,51050,7,363398,1302.22154693,1840,0.00073,-464.37744140625,360397,-5.752854347229004,46.133087158203125,0.030461091548204422
200.0,51340,7,365398,1219.69425318,1850,0.00073,-476.1118469238281,362397,-0.9695894718170166,49.516963958740234,0.03132660314440727
200.0,51628,7,367398,1260.89736645,1860,0.00073,-460.4766845703125,364397,-3.4071991443634033,45.480079650878906,0.03168623149394989
200.0,51922,7,369398,1296.3706253999999,1870,0.00073,-463.0638122558594,366397,-1.3843135833740234,51.85492706298828,0.031156351789832115
200.0,52211,7,371398,1293.94526463,1880,0.00073,-467.408935546875,368397,-1.6095889806747437,45.88750457763672,0.0298235435038805
200.0,52501,7,373398,1407.7537432899996,1890,0.00073,-460.81658935546875,370397,11.50094223022461,40.68231201171875,0.031155958771705627
200.0,52789,7,375398,1426.5084886299996,1900,0.00073,-465.22381591796875,372397,4.493880748748779,35.55257797241211,0.030455783009529114
200.0,53081,7,377398,1437.5463789699998,1910,0.00073,-473.88140869140625,374397,4.052974224090576,47.682613372802734,0.030251696705818176
200.0,53369,7,379398,1428.6878271100002,1920,0.00073,-459.99249267578125,376397,-6.811586380004883,41.406314849853516,0.030149975791573524
200.0,53655,7,381398,1421.0637823099999,1930,0.00073,-462.3196105957031,378397,14.525668144226074,52.12986755371094,0.030413608998060226
200.0,53942,7,383398,1466.7983463599999,1940,0.00073,-454.09332275390625,380397,6.589519500732422,39.69721984863281,0.02961111068725586
200.0,54232,7,385398,1471.18136889,1950,0.00073,-488.088134765625,382397,-1.3534622192382812,39.928707122802734,0.030946463346481323
200.0,54519,7,387398,1484.36117895,1960,0.00073,-488.9664001464844,384397,-4.336674690246582,40.108360290527344,0.03007487952709198
200.0,54808,7,389398,1469.2236375300004,1970,0.00073,-484.0276184082031,386397,7.41184139251709,28.10826301574707,0.030218103900551796
200.0,55096,7,391398,1479.5732296,1980,0.00073,-479.971435546875,388397,6.955996990203857,35.87124252319336,0.02998071350157261
200.0,55386,7,393398,1501.8789161599998,1990,0.00073,-466.8409729003906,390397,12.807219505310059,40.47735595703125,0.029331149533391
200.0,55676,7,395398,1489.3642461099998,2000,0.00073,-473.1371154785156,392397,-3.017918825149536,41.08799743652344,0.02958701178431511
