time/total_timesteps,time/fps,rollout/ep_len_mean,time/time_elapsed,time/episodes,rollout/ep_rew_mean,train/actor_loss,train/critic_loss,train/n_updates,train/ent_coef,train/ent_coef_loss,train/learning_rate
107148,7,65.79,15300,1920,-79.83596189999999,-105.28985595703125,73.82847595214844,104147,0.06369483470916748,0.4937571883201599,0.00073
107794,7,65.13,15396,1930,-88.85942735,-101.42725372314453,109.85528564453125,104793,0.0619310699403286,3.411616563796997,0.00073
108478,7,64.95,15496,1940,-93.19798519000001,-101.15801239013672,75.42754364013672,105477,0.06233490630984306,8.803543090820312,0.00073
109154,6,65.79,15594,1950,-98.15234147999999,-91.72945404052734,58.90468978881836,106153,0.06423541158437729,-5.367722511291504,0.00073
109793,6,65.94,15700,1960,-97.24747632000002,-95.06336212158203,81.65892028808594,106792,0.06356971710920334,3.731203556060791,0.00073
110408,6,65.77,15793,1970,-95.83573089,-103.63309478759766,85.79420471191406,107407,0.06548745930194855,-4.132135391235352,0.00073
111091,6,66.85,15892,1980,-88.14896401999998,-102.21072387695312,87.30682373046875,108090,0.06239214912056923,-1.1802031993865967,0.00073
111748,6,66.74,15986,1990,-91.96996544000004,-98.53746795654297,82.39090728759766,108747,0.06357483565807343,-6.486937046051025,0.00073
112338,6,65.91,16071,2000,-87.75771596999999,-103.02711486816406,76.34273529052734,109337,0.06298287957906723,6.342838287353516,0.00073
113071,6,66.09,16176,2010,-77.08609277,-93.76948547363281,78.40717315673828,110070,0.06388696283102036,-2.1655433177948,0.00073
113668,6,65.2,16263,2020,-77.68972834,-99.22740173339844,87.30589294433594,110667,0.060395240783691406,8.382770538330078,0.00073
114303,6,65.09,16355,2030,-71.82760380999999,-95.84849548339844,66.0871353149414,111302,0.06298364698886871,-2.9792189598083496,0.00073
114961,6,64.83,16450,2040,-62.993783119999996,-92.37155151367188,65.7868423461914,111960,0.06299902498722076,0.552055835723877,0.00073
115565,6,64.11,16538,2050,-44.27160214,-102.05712890625,67.5836410522461,112564,0.06182576343417168,-3.164675235748291,0.00073
116203,6,64.1,16631,2060,-39.20178925,-86.115478515625,70.90560913085938,113202,0.059927329421043396,3.1446776390075684,0.00073
116903,6,64.95,16732,2070,-35.72933868,-105.43391418457031,73.78834533691406,113902,0.05988406762480736,-10.988066673278809,0.00073
117565,6,64.74,16829,2080,-41.02559463000001,-88.8636474609375,92.51144409179688,114564,0.05959031730890274,-2.673649787902832,0.00073
118315,6,65.67,16947,2090,-19.906182920000003,-97.33653259277344,63.63904571533203,115314,0.058178551495075226,6.278861999511719,0.00073
118963,6,66.25,17047,2100,-14.99678535,-120.08436584472656,84.42012786865234,115962,0.05937427282333374,0.3152974843978882,0.00073
119529,6,64.58,17135,2110,-19.003903899999997,-88.83519744873047,96.69692993164062,116528,0.05793587490916252,-9.905491828918457,0.00073
