rollout/ep_len_mean,time/time_elapsed,time/episodes,time/total_timesteps,time/fps,rollout/ep_rew_mean,train/ent_coef_loss,train/critic_loss,train/ent_coef,train/learning_rate,train/n_updates,train/actor_loss
42.29,11149,2020,82954,7,-319.1206687800001,-3.429593563079834,6.240087032318115,0.01698944717645645,0.00073,79953,123.87891387939453
42.45,11209,2030,83377,7,-312.49169374999997,-0.12537646293640137,6.585630416870117,0.016603082418441772,0.00073,80376,128.37310791015625
42.34,11269,2040,83805,7,-311.09977632,3.653921127319336,5.586814880371094,0.016690215095877647,0.00073,80804,129.78387451171875
42.09,11330,2050,84226,7,-311.51580461,3.4976489543914795,5.748434543609619,0.016576115041971207,0.00073,81225,130.9498291015625
41.86,11392,2060,84659,7,-312.29002700999996,-0.377826452255249,6.915278434753418,0.016658879816532135,0.00073,81658,127.85765075683594
41.41,11440,2070,84997,7,-310.90799308,4.291677951812744,5.582579612731934,0.017017720267176628,0.00073,81996,126.46241760253906
41.79,11502,2080,85430,7,-312.52313036,-4.62852144241333,5.8582611083984375,0.01665528118610382,0.00073,82429,124.62191772460938
41.31,11561,2090,85839,7,-310.69551126,2.918062925338745,7.219748497009277,0.01686340942978859,0.00073,82838,127.0677490234375
41.51,11625,2100,86282,7,-303.81279329,-3.7498064041137695,5.844237327575684,0.01728270947933197,0.00073,83281,128.02947998046875
41.64,11687,2110,86715,7,-299.9005540200001,10.894990921020508,6.398909091949463,0.016912514343857765,0.00073,83714,126.5238265991211
