time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/episodes,time/time_elapsed,time/fps,train/critic_loss,train/actor_loss,train/learning_rate,train/ent_coef_loss,train/ent_coef,train/n_updates
159000,100.0,744.7853313400001,1590,22421,7,4.058376789093018,-357.85546875,0.00073,0.6531385779380798,0.08229245245456696,155999
160000,100.0,746.39229923,1600,22566,7,4.69752311706543,-356.6267395019531,0.00073,-0.04440408945083618,0.08143249899148941,156999
161000,100.0,746.35751911,1610,22710,7,3.477257251739502,-356.9882507324219,0.00073,0.4670434892177582,0.08068063110113144,157999
162000,100.0,744.9419798399999,1620,22855,7,4.652194023132324,-358.76788330078125,0.00073,0.02236044406890869,0.08438944816589355,158999
163000,100.0,743.0952331000001,1630,23004,7,3.6976470947265625,-354.6062927246094,0.00073,0.5236555337905884,0.08065630495548248,159999
164000,100.0,741.4666091300002,1640,23148,7,3.5730152130126953,-358.5859375,0.00073,0.2813853621482849,0.078593909740448,160999
165000,100.0,740.5273351600001,1650,23293,7,4.196247577667236,-360.15362548828125,0.00073,-0.2595638930797577,0.08023670315742493,161999
166000,100.0,740.1430917199999,1660,23439,7,3.2054519653320312,-359.1562194824219,0.00073,-0.24204453825950623,0.07706878334283829,162999
167000,100.0,741.21077189,1670,23584,7,3.9144248962402344,-358.255859375,0.00073,0.04296717792749405,0.07893231511116028,163999
168000,100.0,742.27969098,1680,23729,7,3.5658891201019287,-357.0068054199219,0.00073,0.37134677171707153,0.08062544465065002,164999
169000,100.0,743.0389720400001,1690,23874,7,2.9967918395996094,-361.1596374511719,0.00073,-0.8051539063453674,0.07730385661125183,165999
170000,100.0,742.3581032399999,1700,24018,7,3.3460254669189453,-357.309326171875,0.00073,0.45359179377555847,0.07780969887971878,166999
171000,100.0,743.05243554,1710,24163,7,4.068218231201172,-357.7886047363281,0.00073,0.4815938472747803,0.07770854979753494,167999
172000,100.0,744.17971804,1720,24308,7,4.078880310058594,-358.0595397949219,0.00073,-0.1317310631275177,0.07808949053287506,168999
173000,100.0,746.2755937599999,1730,24454,7,3.065372943878174,-358.7327880859375,0.00073,0.7545616626739502,0.07690852135419846,169999
174000,100.0,746.8652446500001,1740,24598,7,4.339666843414307,-361.10833740234375,0.00073,0.2576911747455597,0.07417894154787064,170999
175000,100.0,747.0344378200003,1750,24743,7,4.469834327697754,-357.07452392578125,0.00073,0.637545645236969,0.07402442395687103,171999
176000,100.0,746.8596323800001,1760,24889,7,3.609522819519043,-360.1905822753906,0.00073,-0.1236318051815033,0.07583059370517731,172999
177000,100.0,743.2128184800001,1770,25038,7,3.612086772918701,-359.26300048828125,0.00073,0.72178715467453,0.07828542590141296,173999
178000,100.0,743.9279259400001,1780,25185,7,3.662804126739502,-362.1435852050781,0.00073,-1.1268962621688843,0.07617170363664627,174999
179000,100.0,742.8771529300002,1790,25332,7,4.5882673263549805,-361.3877258300781,0.00073,-0.44683215022087097,0.07546482980251312,175999
180000,100.0,742.19971665,1800,25479,7,3.8525872230529785,-360.5743408203125,0.00073,0.011966824531555176,0.07486120611429214,176999
181000,100.0,739.1409716099998,1810,25625,7,3.023231029510498,-361.4453125,0.00073,-0.40060582756996155,0.07392780482769012,177999
