rollout/ep_rew_mean,time/total_timesteps,time/fps,time/episodes,time/time_elapsed,rollout/ep_len_mean,train/ent_coef_loss,train/learning_rate,train/critic_loss,train/ent_coef,train/actor_loss,train/n_updates
1001.7807955400001,320104,7,1630,44908,200.0,1.0109405517578125,0.00073,67.33527374267578,0.03715648874640465,-399.24365234375,317103
1031.87125354,322104,7,1640,45194,200.0,2.4362776279449463,0.00073,51.984619140625,0.03748141601681709,-430.3301086425781,319103
1071.7911686300001,324104,7,1650,45483,200.0,-6.457464218139648,0.00073,50.101043701171875,0.036248497664928436,-416.60394287109375,321103
1120.94415125,326104,7,1660,45770,200.0,-6.60444450378418,0.00073,48.50550079345703,0.03608481213450432,-403.6071472167969,323103
1163.18118242,328104,7,1670,46058,200.0,0.29363083839416504,0.00073,41.888397216796875,0.03625569865107536,-422.4388732910156,325103
1172.8994460200001,330104,7,1680,46344,200.0,-0.4350705146789551,0.00073,50.48408508300781,0.037281982600688934,-435.5631408691406,327103
1307.08258633,332104,7,1690,46633,200.0,8.926102638244629,0.00073,43.30618667602539,0.036670662462711334,-442.19647216796875,329103
1402.5356094000003,334104,7,1700,46930,200.0,4.628934383392334,0.00073,53.847808837890625,0.03501037508249283,-443.8312072753906,331103
1470.0428908299998,336104,7,1710,47215,200.0,11.105183601379395,0.00073,40.154258728027344,0.03597243130207062,-428.23779296875,333103
1509.27244863,338104,7,1720,47504,200.0,-6.142578125,0.00073,47.391910552978516,0.03759706765413284,-470.5727233886719,335103
1554.08981554,340104,7,1730,47794,200.0,0.453019380569458,0.00073,44.48332214355469,0.03598199412226677,-436.9704895019531,337103
1611.7077519399995,342104,7,1740,48086,200.0,3.5464465618133545,0.00073,40.32227325439453,0.03446197509765625,-462.94256591796875,339103
1639.6861852899997,344104,7,1750,48374,200.0,8.805237770080566,0.00073,40.210693359375,0.03510729968547821,-447.5765686035156,341103
1653.5188077099997,346104,7,1760,48663,200.0,0.8429428339004517,0.00073,38.0293083190918,0.03373248502612114,-464.6968994140625,343103
1682.5783423799999,348104,7,1770,48951,200.0,6.942786693572998,0.00073,42.208946228027344,0.03419218584895134,-441.9512939453125,345103
1718.7198277700002,350104,7,1780,49240,200.0,-8.299996376037598,0.00073,42.10871887207031,0.034450311213731766,-429.2068786621094,347103
1703.3281107100001,352104,7,1790,49528,200.0,0.36341357231140137,0.00073,37.75011444091797,0.032524473965168,-471.56536865234375,349103
