time/episodes,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,train/n_updates,train/ent_coef_loss,train/critic_loss,train/learning_rate,train/actor_loss,train/ent_coef
1950,7,27321,718.7472111200001,195000,100.0,191999,0.4268578290939331,0.700782060623169,0.00073,-377.4316711425781,0.012986556626856327
1960,7,27466,718.7914540899999,196000,100.0,192999,1.9895517826080322,0.5464190244674683,0.00073,-377.0680847167969,0.012857194058597088
1970,7,27608,718.8093928800001,197000,100.0,193999,2.076528549194336,0.5100516080856323,0.00073,-376.76519775390625,0.012968499213457108
1980,7,27751,718.99445444,198000,100.0,194999,-0.6321592330932617,0.5598815679550171,0.00073,-377.323486328125,0.013823892921209335
1990,7,27893,718.9375969199999,199000,100.0,195999,-0.6366642713546753,0.5308501124382019,0.00073,-376.6795654296875,0.014729933813214302
2000,7,28037,718.98251487,200000,100.0,196999,-1.4384291172027588,0.2526208758354187,0.00073,-377.6669616699219,0.013806975446641445
2010,7,28180,719.0579878899999,201000,100.0,197999,1.0966758728027344,0.6378358006477356,0.00073,-376.7679748535156,0.01520083099603653
2020,7,28324,719.0700482599999,202000,100.0,198999,-0.3366398811340332,0.4425070881843567,0.00073,-377.82244873046875,0.01449262909591198
2030,7,28469,719.24298872,203000,100.0,199999,-0.7290059328079224,0.38084909319877625,0.00073,-378.4804992675781,0.015469052828848362
2040,7,28613,719.11915808,204000,100.0,200999,0.20299237966537476,0.4311586618423462,0.00073,-377.6719665527344,0.014050622470676899
2050,7,28757,719.1041902000002,205000,100.0,201999,0.1571197509765625,0.4130634665489197,0.00073,-376.9576721191406,0.013737213797867298
