rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/episodes,time/fps,train/n_updates,train/actor_loss,train/ent_coef,train/ent_coef_loss,train/learning_rate,train/critic_loss
100.0,188792,26080,361.33199977000004,1890,7,185791,-165.81536865234375,0.09084880352020264,2.092726945877075,0.00073,15.307621002197266
100.0,189792,26221,390.25337785999994,1900,7,186791,-177.991455078125,0.09064700454473495,0.7280973196029663,0.00073,12.994813919067383
100.0,190792,26362,399.58334992,1910,7,187791,-154.66537475585938,0.09015907347202301,-0.6797659397125244,0.00073,16.066530227661133
100.0,191792,26502,406.90765300999993,1920,7,188791,-162.26223754882812,0.08664179593324661,-0.8236291408538818,0.00073,12.493049621582031
100.0,192792,26645,414.71930014000003,1930,7,189791,-169.36044311523438,0.08507083356380463,0.8590197563171387,0.00073,12.416454315185547
100.0,193792,26788,395.64017076,1940,7,190791,-156.10220336914062,0.08721689134836197,0.20525097846984863,0.00073,12.0865478515625
100.0,194792,26932,411.86846451,1950,7,191791,-170.69839477539062,0.0873313769698143,1.0003280639648438,0.00073,15.241952896118164
100.0,195792,27073,407.2029686799999,1960,7,192791,-173.04571533203125,0.09091495722532272,-0.1905447095632553,0.00073,13.450817108154297
100.0,196792,27216,410.10492296000007,1970,7,193791,-171.75213623046875,0.08931536972522736,0.7331126928329468,0.00073,16.685823440551758
100.0,197792,27358,430.56950377999993,1980,7,194791,-180.411865234375,0.09037934988737106,0.08198891580104828,0.00073,13.850276947021484
100.0,198792,27499,430.50246462999996,1990,7,195791,-161.42636108398438,0.08650567382574081,0.47900092601776123,0.00073,18.903593063354492
100.0,199792,27641,408.09158901999996,2000,7,196791,-178.71971130371094,0.0869041234254837,-0.10391809046268463,0.00073,15.918622016906738
100.0,200792,27782,405.53381597999993,2010,7,197791,-177.85342407226562,0.08779598772525787,0.3809133470058441,0.00073,14.31212043762207
100.0,201792,27924,409.1242462199999,2020,7,198791,-171.78529357910156,0.08947551995515823,-0.1452767252922058,0.00073,14.516803741455078
100.0,202792,28066,393.03095072,2030,7,199791,-172.0861358642578,0.08957594633102417,0.17298519611358643,0.00073,14.863273620605469
100.0,203792,28206,406.16859449000003,2040,7,200791,-175.56082153320312,0.08895275741815567,0.10957463085651398,0.00073,13.37165355682373
100.0,204792,28348,402.42660972000004,2050,7,201791,-189.81153869628906,0.0904010757803917,0.08449901640415192,0.00073,16.56901741027832
100.0,205792,28490,386.36436860000003,2060,7,202791,-176.89627075195312,0.08967983722686768,0.3055117726325989,0.00073,11.632779121398926
