time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/total_timesteps,time/time_elapsed,train/ent_coef_loss,train/critic_loss,train/ent_coef,train/actor_loss,train/learning_rate,train/n_updates
1820,772.3694032999999,100.0,7,182000,25330,1.1161226034164429,0.08888501673936844,0.0026394673623144627,-394.50848388671875,0.00073,178999
1830,771.78017248,100.0,7,183000,25473,1.698555588722229,0.1640351563692093,0.002637819154188037,-394.9693908691406,0.00073,179999
1840,771.5039216,100.0,7,184000,25618,-0.9034184813499451,0.07476331293582916,0.0028495416045188904,-395.115478515625,0.00073,180999
1850,770.9564269899998,100.0,7,185000,25762,-4.709358215332031,0.14480699598789215,0.0028464330825954676,-395.2791442871094,0.00073,181999
1860,770.89216436,100.0,7,186000,25906,-2.42547345161438,0.11915624886751175,0.0029656949918717146,-395.1304931640625,0.00073,182999
1870,769.8138030599998,100.0,7,187000,26049,1.0130740404129028,0.0684632658958435,0.0029145958833396435,-395.5054931640625,0.00073,183999
1880,768.9047871700001,100.0,7,188000,26192,-0.5391857624053955,0.08035889267921448,0.002850581193342805,-395.239013671875,0.00073,184999
1890,768.5277048600001,100.0,7,189000,26335,2.293344736099243,0.09381379187107086,0.0024786056019365788,-394.8667297363281,0.00073,185999
1900,768.61893946,100.0,7,190000,26479,4.711200714111328,0.10469244420528412,0.002804767107591033,-394.4437255859375,0.00073,186999
1910,768.7712215399999,100.0,7,191000,26622,-3.536201000213623,0.06667430698871613,0.0023664343170821667,-395.388916015625,0.00073,187999
1920,768.9081173999999,100.0,7,192000,26765,1.7080460786819458,0.09416306763887405,0.002638190286234021,-394.59735107421875,0.00073,188999
1930,769.14431352,100.0,7,193000,26908,-0.5169023275375366,0.13046963512897491,0.0023701246827840805,-394.63092041015625,0.00073,189999
1940,768.27605041,100.0,7,194000,27051,1.821697473526001,0.08811923116445541,0.002330085961148143,-395.58355712890625,0.00073,190999
1950,767.3445949600001,100.0,7,195000,27194,-0.5831242799758911,0.04946484789252281,0.00261089694686234,-394.8692321777344,0.00073,191999
1960,767.9640433899999,100.0,7,196000,27338,1.3582401275634766,0.0782233253121376,0.0023257103748619556,-395.01898193359375,0.00073,192999
1970,769.7072279600001,100.0,7,197000,27481,0.6584862470626831,0.23419412970542908,0.0023200525902211666,-394.91619873046875,0.00073,193999
1980,769.7234194000001,100.0,7,198000,27626,2.5252315998077393,0.22087831795215607,0.0025928490795195103,-394.759521484375,0.00073,194999
1990,769.2839873600001,100.0,7,199000,27771,0.855896532535553,0.10801376402378082,0.002386205829679966,-394.63177490234375,0.00073,195999
2000,768.6347684899998,100.0,7,200000,27914,-3.2234246730804443,0.06538888812065125,0.002302560955286026,-395.69488525390625,0.00073,196999
2010,767.7259579199999,100.0,7,201000,28059,1.0301963090896606,0.08533451706171036,0.002343048108741641,-395.03204345703125,0.00073,197999
2020,769.0898044300001,100.0,7,202000,28205,-3.498215675354004,0.07436789572238922,0.002410427201539278,-395.37567138671875,0.00073,198999
2030,768.66566474,100.0,7,203000,28347,1.3875670433044434,0.1637466996908188,0.0026483717374503613,-394.49774169921875,0.00073,199999
2040,769.5935489900002,100.0,7,204000,28489,2.593123435974121,0.07736711204051971,0.0024716563057154417,-394.8250732421875,0.00073,200999
