time/fps,time/total_timesteps,rollout/ep_rew_mean,time/episodes,time/time_elapsed,rollout/ep_len_mean,train/ent_coef,train/critic_loss,train/actor_loss,train/learning_rate,train/n_updates,train/ent_coef_loss
6,864190,685.21072969,8890,124204,99.73,0.01076515018939972,0.9296054840087891,-407.2583312988281,0.00073,861189,10.800804138183594
6,865190,701.06497328,8900,124348,99.73,0.013217383064329624,1.1200387477874756,-406.1868896484375,0.00073,862189,5.583786964416504
6,866190,682.52458176,8910,124492,99.73,0.012541056610643864,0.9498687982559204,-405.04248046875,0.00073,863189,1.5082345008850098
6,867190,682.90390375,8920,124638,99.73,0.01076954510062933,0.6294111013412476,-405.00390625,0.00073,864189,5.540694713592529
6,868190,683.0770598899998,8930,124783,99.73,0.010320976376533508,0.6604204773902893,-401.7838439941406,0.00073,865189,5.144197463989258
6,869190,712.38545902,8940,124927,99.73,0.010378796607255936,0.5791453123092651,-401.384765625,0.00073,866189,-12.099456787109375
6,870190,749.4784032599999,8950,125071,100.0,0.009913921356201172,0.5264039039611816,-400.6355285644531,0.00073,867189,0.033686548471450806
6,871190,749.01063254,8960,125216,100.0,0.009930684231221676,0.4450274109840393,-400.03936767578125,0.00073,868189,-5.99647331237793
6,872190,749.0504943699999,8970,125361,100.0,0.009986232966184616,0.8195087313652039,-399.4248046875,0.00073,869189,2.1082282066345215
6,873190,748.9626861700001,8980,125504,100.0,0.009397929534316063,0.5115020275115967,-398.89501953125,0.00073,870189,-4.352001667022705
6,874190,744.9526481899999,8990,125649,100.0,0.008855098858475685,0.4032668173313141,-399.0010681152344,0.00073,871189,-11.933039665222168
6,875190,750.2852904099999,9000,125791,100.0,0.009485007263720036,0.8728185296058655,-398.68231201171875,0.00073,872189,-1.5611262321472168
6,876190,770.5954931399999,9010,125936,100.0,0.009777124039828777,0.6019114255905151,-398.9291076660156,0.00073,873189,0.4232184886932373
6,877190,770.67051174,9020,126080,100.0,0.009795080870389938,0.6234583854675293,-398.9954528808594,0.00073,874189,10.059922218322754
6,878190,756.23299249,9030,126224,100.0,0.010571214370429516,1.5860860347747803,-399.53631591796875,0.00073,875189,3.5899829864501953
6,879190,743.28187202,9040,126368,100.0,0.0100352568551898,19.20873260498047,-396.02935791015625,0.00073,876189,5.292337894439697
6,880190,742.65982032,9050,126511,100.0,0.009563238359987736,1.109583854675293,-396.1202087402344,0.00073,877189,6.459403991699219
6,881190,742.9488776900001,9060,126655,100.0,0.009637866169214249,0.6757580041885376,-396.8684997558594,0.00073,878189,-5.021831512451172
6,882190,742.7195536199999,9070,126799,100.0,0.00924121867865324,0.9383708834648132,-397.08648681640625,0.00073,879189,5.615659713745117
6,883190,742.80125278,9080,126943,100.0,0.009150342084467411,0.7024612426757812,-396.7829895019531,0.00073,880189,0.7754273414611816
6,884190,746.8141186100002,9090,127086,100.0,0.009674531407654285,0.6725205183029175,-396.7742614746094,0.00073,881189,-7.142984390258789
6,885190,746.6354187600002,9100,127230,100.0,0.009394314140081406,0.859210193157196,-397.38714599609375,0.00073,882189,-13.814309120178223
6,886190,746.0501269,9110,127374,100.0,0.008818629197776318,0.44442230463027954,-397.07598876953125,0.00073,883189,-11.50802993774414
6,887190,745.4747256200001,9120,127517,100.0,0.009048680774867535,0.8538122177124023,-396.6739807128906,0.00073,884189,2.5486326217651367
6,888190,759.9459101699998,9130,127660,100.0,0.00902558770030737,1.0696194171905518,-396.99383544921875,0.00073,885189,2.3024814128875732
6,889190,772.9101257799998,9140,127802,100.0,0.008928637020289898,0.35921692848205566,-396.7021179199219,0.00073,886189,12.121487617492676
6,890190,773.3147500399999,9150,127942,100.0,0.00987540278583765,0.386935293674469,-396.6763916015625,0.00073,887189,2.392930507659912
6,891190,773.5778725199998,9160,128085,100.0,0.0090110395103693,0.4635806083679199,-397.1084899902344,0.00073,888189,-4.492781162261963
6,892190,772.88136141,9170,128229,100.0,0.009268499910831451,0.5800610780715942,-396.1116638183594,0.00073,889189,7.457417964935303
6,893190,770.6131144199999,9180,128373,100.0,0.008397294208407402,0.4395718574523926,-396.8564453125,0.00073,890189,-2.84788179397583
6,894190,769.5307312299998,9190,128517,100.0,0.008938728831708431,0.4891029894351959,-396.6438293457031,0.00073,891189,-15.866025924682617
6,895190,768.88334879,9200,128662,100.0,0.008400109596550465,1.3743458986282349,-396.098876953125,0.00073,892189,-9.593904495239258
6,896190,765.23715197,9210,128808,100.0,0.01048487238585949,0.7041446566581726,-395.9953918457031,0.00073,893189,-10.065176010131836
6,897190,757.8142264799998,9220,128953,100.0,0.009875623509287834,0.8618312478065491,-396.235595703125,0.00073,894189,-0.544837474822998
6,898190,756.6980877500001,9230,129099,100.0,0.00908710714429617,0.5889263153076172,-396.5736999511719,0.00073,895189,12.427287101745605
6,899190,753.63086187,9240,129243,100.0,0.009184876456856728,0.872235894203186,-396.90289306640625,0.00073,896189,-6.27083158493042
6,900190,753.1101284800002,9250,129387,100.0,0.009167886339128017,0.7863370180130005,-397.03271484375,0.00073,897189,0.19817912578582764
6,901190,752.90910157,9260,129532,100.0,0.009372527711093426,0.7789736986160278,-395.5235290527344,0.00073,898189,12.142244338989258
6,902190,753.5046651899997,9270,129679,100.0,0.008964834734797478,0.39019498229026794,-397.1445617675781,0.00073,899189,-7.068314552307129
6,903190,755.5808394800001,9280,129825,100.0,0.00846465677022934,0.7015672922134399,-395.2745666503906,0.00073,900189,-8.744721412658691
6,904190,756.6103331899999,9290,129972,100.0,0.008231041021645069,0.7190922498703003,-395.58056640625,0.00073,901189,3.1649506092071533
6,905190,757.6822409800001,9300,130119,100.0,0.00878769252449274,0.4460384249687195,-395.719970703125,0.00073,902189,-8.059473037719727
6,906190,761.9926174899999,9310,130264,100.0,0.007925787009298801,0.41587573289871216,-395.0905456542969,0.00073,903189,-7.589069366455078
6,907190,770.05306273,9320,130409,100.0,0.0076832701452076435,0.9409971833229065,-395.4601745605469,0.00073,904189,-2.555269479751587
6,908190,767.10068102,9330,130553,100.0,0.0084852185100317,0.9172614812850952,-394.769775390625,0.00073,905189,-3.809520721435547
6,909190,757.0879448199998,9340,130695,100.0,0.01121288537979126,0.7521275281906128,-397.242431640625,0.00073,906189,-0.8017810583114624
6,910190,718.5326219099999,9350,130842,100.0,0.020493311807513237,1.817887783050537,-411.6801452636719,0.00073,907189,-5.604316234588623
