time/episodes,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/fps,train/ent_coef,train/learning_rate,train/critic_loss,train/actor_loss,train/ent_coef_loss,train/n_updates
1660,100.0,166000,21567,-209.90327849000005,7,0.003463522531092167,0.00073,0.3237478733062744,95.52989959716797,-19.330814361572266,162999
1670,100.0,167000,21701,-210.18139464,7,0.0034528649412095547,0.00073,0.42178475856781006,94.39270782470703,-3.7010316848754883,163999
1680,100.0,168000,21836,-212.13839301,7,0.0035156283993273973,0.00073,0.3507375121116638,95.90121459960938,13.54759407043457,164999
1690,100.0,169000,21971,-209.55570294,7,0.0035195129457861185,0.00073,0.31811124086380005,93.67819213867188,6.9868669509887695,165999
1700,100.0,170000,22105,-210.17491153999995,7,0.003351551713421941,0.00073,0.335336834192276,95.27951049804688,1.2382014989852905,166999
1710,100.0,171000,22240,-210.93559193000004,7,0.0034549087285995483,0.00073,0.2773929834365845,95.27339935302734,-3.9468624591827393,167999
1720,100.0,172000,22374,-211.00511377999996,7,0.003383803181350231,0.00073,0.3277941346168518,96.11041259765625,11.029794692993164,168999
1730,100.0,173000,22508,-211.02891963999994,7,0.003376177977770567,0.00073,0.3286623954772949,93.50669860839844,3.1106863021850586,169999
1740,100.0,174000,22642,-211.08342924000002,7,0.0033664635848253965,0.00073,0.23399874567985535,94.8515625,-1.0832157135009766,170999
1750,100.0,175000,22777,-208.95803963000003,7,0.0033707700204104185,0.00073,0.3003065586090088,93.91616821289062,-2.891052722930908,171999
1760,100.0,176000,22911,-209.16478389000002,7,0.0034168632701039314,0.00073,0.3068627119064331,95.47401428222656,3.3561713695526123,172999
1770,100.0,177000,23045,-210.90646427999997,7,0.003437344217672944,0.00073,0.29609254002571106,96.74502563476562,9.936593055725098,173999
1780,100.0,178000,23179,-210.44054922000004,7,0.0034902177285403013,0.00073,0.3259020447731018,93.8825912475586,5.793042182922363,174999
1790,100.0,179000,23313,-210.16681679,7,0.003418129403144121,0.00073,0.32226353883743286,94.51405334472656,-5.752063751220703,175999
1800,100.0,180000,23446,-209.11936802,7,0.003445256967097521,0.00073,0.2964649796485901,94.90830993652344,5.814253330230713,176999
1810,100.0,181000,23579,-209.08700915000006,7,0.0035818819887936115,0.00073,0.3164440393447876,93.6341781616211,8.764113426208496,177999
1820,100.0,182000,23713,-208.05399805000002,7,0.003511600662022829,0.00073,0.3045191168785095,93.24439239501953,0.5652809143066406,178999
1830,100.0,183000,23846,-206.67389293,7,0.003610174637287855,0.00073,0.2760615944862366,93.8032455444336,2.852114200592041,179999
1840,100.0,184000,23980,-205.77266794,7,0.0035417000763118267,0.00073,0.32441067695617676,90.3210220336914,11.199697494506836,180999
1850,100.0,185000,24113,-206.66259623000002,7,0.003718575229868293,0.00073,0.33536213636398315,92.02030181884766,-3.8821730613708496,181999
1860,100.0,186000,24246,-205.08138676,7,0.0035752798430621624,0.00073,0.31084978580474854,93.0346908569336,-2.034064769744873,182999
1870,100.0,187000,24380,-203.08491653,7,0.0036173793487250805,0.00073,0.280460000038147,91.784423828125,-6.568229675292969,183999
1880,100.0,188000,24513,-203.26302936,7,0.003552475944161415,0.00073,0.34848159551620483,90.73509216308594,4.905247211456299,184999
1890,100.0,189000,24647,-204.83215181,7,0.0034598843194544315,0.00073,0.3260659873485565,91.47686767578125,-1.6047122478485107,185999
1900,100.0,190000,24782,-204.73012628999996,7,0.0033796411007642746,0.00073,0.31708475947380066,91.52018737792969,5.552933216094971,186999
1910,100.0,191000,24916,-206.84138934000003,7,0.003489177906885743,0.00073,0.3365536332130432,91.4006576538086,12.413923263549805,187999
1920,100.0,192000,25051,-206.65238997,7,0.003534359624609351,0.00073,0.3237287700176239,94.95175170898438,3.9651436805725098,188999
1930,100.0,193000,25187,-206.53069716000002,7,0.003536711446940899,0.00073,0.3174174726009369,91.04554748535156,4.807458400726318,189999
1940,100.0,194000,25323,-206.64917718999996,7,0.0036793029867112637,0.00073,0.338938444852829,89.73292541503906,-17.862361907958984,190999
1950,100.0,195000,25457,-206.36536865999997,7,0.0036282711662352085,0.00073,0.3849833309650421,90.4012222290039,-2.526008129119873,191999
1960,100.0,196000,25592,-209.02729598,7,0.0036890862975269556,0.00073,0.3536913990974426,91.87448120117188,2.9183528423309326,192999
1970,100.0,197000,25728,-210.09979524,7,0.0034751719795167446,0.00073,0.318713903427124,91.35186004638672,2.065195322036743,193999
1980,100.0,198000,25863,-211.28536832,7,0.00369529752060771,0.00073,0.3195838928222656,90.1932601928711,-2.372166633605957,194999
1990,100.0,199000,25999,-211.16873061000007,7,0.003645785618573427,0.00073,0.3044740855693817,90.8291244506836,14.37521743774414,195999
2000,100.0,200000,26134,-210.84645744000005,7,0.0034975064918398857,0.00073,0.3598480224609375,90.43540954589844,-4.782691955566406,196999
2010,100.0,201000,26269,-209.72630555,7,0.0034975865855813026,0.00073,0.3134702146053314,91.39849853515625,-13.031896591186523,197999
2020,100.0,202000,26404,-209.76545050999997,7,0.0035501676611602306,0.00073,0.3248060643672943,90.7950668334961,15.963874816894531,198999
2030,100.0,203000,26537,-210.36217029999997,7,0.003584942314773798,0.00073,0.3576391339302063,92.20928192138672,-2.2704343795776367,199999
2040,100.0,204000,26674,-209.81605437999994,7,0.0035188584588468075,0.00073,0.37037569284439087,91.05314636230469,1.1000683307647705,200999
2050,100.0,205000,26808,-209.09988822000003,7,0.003659068839624524,0.00073,0.3597208559513092,91.36712646484375,4.537344455718994,201999
