time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/episodes,train/learning_rate,train/ent_coef_loss,train/actor_loss,train/ent_coef,train/critic_loss,train/n_updates
62447,47.84,39.558298900000004,7,7951,1600,0.00073,3.3687634468078613,-673.1972045898438,0.09712498635053635,137.52288818359375,59446
62853,47.32,6.185695929999996,7,8005,1610,0.00073,-0.44406867027282715,-679.766357421875,0.09769789129495621,270.2908020019531,59852
63232,46.28,4.594553169999997,7,8056,1620,0.00073,-1.4564086198806763,-689.5648803710938,0.09831779450178146,168.2427978515625,60231
63732,46.53,27.886247069999996,7,8123,1630,0.00073,-4.222496032714844,-658.406494140625,0.09521856158971786,151.62997436523438,60731
64211,46.32,62.66230360999999,7,8187,1640,0.00073,-1.6539278030395508,-653.7528076171875,0.10202451050281525,398.4866638183594,61210
64681,46.04,64.53535012,7,8250,1650,0.00073,-2.024749279022217,-658.656982421875,0.10077964514493942,326.3639831542969,61680
65181,46.14,72.93907469,7,8317,1660,0.00073,-2.721548557281494,-683.4415893554688,0.106441929936409,174.2584686279297,62180
65642,45.81,80.32420441999999,7,8379,1670,0.00073,-0.028985977172851562,-700.3748779296875,0.10588765889406204,273.75946044921875,62641
66135,46.0,73.78116309,7,8445,1680,0.00073,2.703014373779297,-724.0806274414062,0.10609881579875946,217.63739013671875,63134
66630,46.33,72.45878999,7,8513,1690,0.00073,2.515202045440674,-744.8137817382812,0.09838692098855972,236.21832275390625,63629
67081,46.34,72.24422818,7,8573,1700,0.00073,-2.843522071838379,-698.809326171875,0.09855111688375473,367.86322021484375,64080
67473,46.2,60.00105566,7,8626,1710,0.00073,-4.105931282043457,-714.3916625976562,0.09858902543783188,151.54434204101562,64472
67949,47.17,59.73256044,7,8689,1720,0.00073,-0.5042091012001038,-741.5491333007812,0.1009981706738472,488.750244140625,64948
68415,46.83,42.82986626000001,7,8752,1730,0.00073,-6.420527935028076,-664.3147583007812,0.09945505857467651,397.8840026855469,65414
68913,47.02,0.28968901999999813,7,8819,1740,0.00073,3.937669515609741,-752.130859375,0.09794562309980392,4726.32275390625,65912
69413,47.32,0.08272806999999531,7,8886,1750,0.00073,0.33702683448791504,-724.6077270507812,0.10312217473983765,177.2394256591797,66412
69913,47.32,-1.706659010000001,7,8952,1760,0.00073,-3.7305383682250977,-746.0069580078125,0.10350527614355087,218.38134765625,66912
70411,47.69,-11.229430209999999,7,9019,1770,0.00073,4.258022308349609,-747.34716796875,0.10046211630105972,246.11447143554688,67410
70881,47.46,20.314314409999994,7,9083,1780,0.00073,-3.1198620796203613,-671.7368774414062,0.10738153010606766,189.54251098632812,67880
71353,47.23,21.043241719999997,7,9145,1790,0.00073,-1.4934189319610596,-785.791748046875,0.10376926511526108,172.52455139160156,68352
71819,47.38,21.414836709999996,7,9207,1800,0.00073,5.506718635559082,-716.94189453125,0.10334134846925735,206.99490356445312,68818
72319,48.46,31.787863289999986,7,9274,1810,0.00073,-4.503210544586182,-733.8388671875,0.10118156671524048,217.5218505859375,69318
72794,48.45,31.877351759999993,7,9338,1820,0.00073,-1.6870219707489014,-696.574462890625,0.1032228097319603,178.97080993652344,69793
73240,48.25,47.22888174,7,9397,1830,0.00073,-5.552984237670898,-714.2379760742188,0.1080147996544838,239.02056884765625,70239
73704,47.91,81.04866134999999,7,9460,1840,0.00073,3.0036699771881104,-718.0357055664062,0.10648190975189209,426.111083984375,70703
74176,47.63,78.04836032,7,9523,1850,0.00073,-0.9269975423812866,-680.05322265625,0.10580576956272125,218.34165954589844,71175
74627,47.14,71.3640975,7,9584,1860,0.00073,5.469047546386719,-711.5370483398438,0.10188028961420059,206.1487579345703,71626
75017,46.06,70.05934704,7,9636,1870,0.00073,-4.466527938842773,-668.0443115234375,0.1047552078962326,250.74856567382812,72016
75421,45.4,40.06817756000002,7,9691,1880,0.00073,8.498337745666504,-765.0263671875,0.11111532151699066,1311.5906982421875,72420
75899,45.46,39.87070082,7,9755,1890,0.00073,-2.088390588760376,-707.3047485351562,0.11341741681098938,187.25482177734375,72898
76372,45.53,39.36494685,7,9818,1900,0.00073,-5.652477741241455,-674.3460693359375,0.1122720018029213,559.1514282226562,73371
76838,45.19,36.36659035,7,9881,1910,0.00073,2.215998888015747,-764.6396484375,0.12005868554115295,196.21502685546875,73837
77305,45.11,50.66023707,7,9944,1920,0.00073,3.4732847213745117,-730.8914184570312,0.11850299686193466,273.5662841796875,74304
77645,44.05,43.010162150000006,7,9990,1930,0.00073,-0.014809846878051758,-784.2291870117188,0.12268008291721344,316.79156494140625,74644
78076,43.72,7.167298960000002,7,10048,1940,0.00073,-0.5136147737503052,-764.7466430664062,0.12464921176433563,205.10702514648438,75075
78523,43.47,21.66019519,7,10108,1950,0.00073,-0.10847741365432739,-773.7381591796875,0.12140858173370361,452.33929443359375,75522
78946,43.19,29.91266487000001,7,10166,1960,0.00073,2.055119037628174,-782.7799072265625,0.12431671470403671,265.89739990234375,75945
79412,43.95,29.305037989999995,7,10228,1970,0.00073,7.148351669311523,-785.4920043945312,0.1220177710056305,400.1355895996094,76411
79838,44.17,28.59206989000001,7,10285,1980,0.00073,4.651360988616943,-812.6616821289062,0.12103806436061859,768.5402221679688,76837
80338,44.39,31.624173380000002,7,10353,1990,0.00073,3.0227794647216797,-789.0895385742188,0.12071681022644043,238.23858642578125,77337
