time/total_timesteps,time/episodes,time/time_elapsed,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,train/learning_rate,train/n_updates,train/ent_coef_loss,train/actor_loss,train/ent_coef,train/critic_loss
185000,1850,26444,6,772.4149097799999,100.0,0.00073,181999,-2.20100736618042,-394.95074462890625,0.0024086465127766132,0.09314258396625519
186000,1860,26592,6,772.98168845,100.0,0.00073,182999,3.6440484523773193,-394.6116943359375,0.0025818562135100365,0.07512987405061722
187000,1870,26739,6,773.2742733899998,100.0,0.00073,183999,-0.6399658918380737,-394.81719970703125,0.002588083501905203,0.09148521721363068
188000,1880,26885,6,772.9478287699998,100.0,0.00073,184999,-3.607609748840332,-394.8424987792969,0.0024945519398897886,0.05721481144428253
189000,1890,27032,6,772.8015924800001,100.0,0.00073,185999,3.3579859733581543,-394.9599304199219,0.002559349173679948,0.1325877606868744
190000,1900,27178,6,772.9251231000001,100.0,0.00073,186999,1.3100630044937134,-395.14453125,0.002453748369589448,0.08165635168552399
191000,1910,27324,6,772.7445770899999,100.0,0.00073,187999,-0.7854092121124268,-394.94708251953125,0.002602379070594907,0.13948938250541687
192000,1920,27470,6,773.35244257,100.0,0.00073,188999,-3.7084338665008545,-394.92388916015625,0.0024431205820292234,0.05361485481262207
193000,1930,27618,6,774.9049571800001,100.0,0.00073,189999,1.5433138608932495,-394.422119140625,0.002546528121456504,0.09146691858768463
194000,1940,27766,6,773.7107611900002,100.0,0.00073,190999,1.755774974822998,-394.74237060546875,0.002503620460629463,0.09021973609924316
195000,1950,27915,6,773.9119400599999,100.0,0.00073,191999,-0.4209572970867157,-395.2393798828125,0.002344695618376136,0.12020304799079895
196000,1960,28064,6,773.0495329600002,100.0,0.00073,192999,-3.334338426589966,-395.37225341796875,0.0027884780429303646,0.09338809549808502
197000,1970,28212,6,773.3754474100001,100.0,0.00073,193999,-0.4652200937271118,-394.7994079589844,0.002576043363660574,0.15717919170856476
198000,1980,28360,6,773.4786236799997,100.0,0.00073,194999,2.3108556270599365,-394.1234130859375,0.002345351967960596,0.14881445467472076
