time/time_elapsed,time/fps,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/episodes,train/ent_coef,train/learning_rate,train/n_updates,train/actor_loss,train/ent_coef_loss,train/critic_loss
12313,7,94997,64.71,-192.15840778,1830,0.04701664298772812,0.00073,91996,-11.376285552978516,-2.6768813133239746,48.84258270263672
12401,7,95638,65.5,-177.87971011999997,1840,0.04840322956442833,0.00073,92637,-17.979328155517578,-3.7770073413848877,49.06935119628906
12488,7,96281,65.65,-169.15606511,1850,0.04843214899301529,0.00073,93280,-15.034076690673828,10.154487609863281,57.991390228271484
12572,7,96910,65.61,-170.04404431,1860,0.049350932240486145,0.00073,93909,-13.510891914367676,2.450815200805664,55.750579833984375
12657,7,97549,64.55,-164.68715242000002,1870,0.04832584783434868,0.00073,94548,-23.432064056396484,-2.267444133758545,51.7755126953125
12736,7,98139,63.44,-173.80937804999996,1880,0.048831745982170105,0.00073,95138,-20.884157180786133,1.6759029626846313,50.38095474243164
12820,7,98764,62.7,-177.73657475,1890,0.047804269939661026,0.00073,95763,-17.04631805419922,8.420831680297852,64.95945739746094
12899,7,99351,61.95,-176.24024724,1900,0.05107196792960167,0.00073,96350,-15.1357421875,2.998880386352539,57.63318634033203
12981,7,99963,62.74,-182.44882390000004,1910,0.04996449872851372,0.00073,96962,-13.086915969848633,-1.5063753128051758,56.420677185058594
13066,7,100593,63.23,-190.81168667000003,1920,0.04885069280862808,0.00073,97592,-2.694967269897461,-13.46386432647705,60.65345764160156
13149,7,101216,62.19,-188.07297490000002,1930,0.050444312393665314,0.00073,98215,-14.197271347045898,10.16973876953125,59.751312255859375
13245,7,101937,62.99,-185.34679940000007,1940,0.049497414380311966,0.00073,98936,-32.07418441772461,3.5148262977600098,55.99831008911133
13326,7,102534,62.53,-191.17178714000005,1950,0.049171753227710724,0.00073,99533,-20.30088996887207,-4.887814521789551,59.47093963623047
13411,7,103165,62.55,-193.56043059,1960,0.04974616691470146,0.00073,100164,-29.55304527282715,4.794532299041748,56.084617614746094
13505,7,103865,63.16,-191.53670051,1970,0.04869874194264412,0.00073,100864,-26.31393051147461,2.5094728469848633,80.14378356933594
13584,7,104450,63.11,-181.45086405,1980,0.04912388697266579,0.00073,101449,-30.71171760559082,-4.947271347045898,57.05518341064453
13674,7,105118,63.54,-167.98834933999998,1990,0.04818565770983696,0.00073,102117,-7.049563407897949,-12.617810249328613,58.97047424316406
13757,7,105714,63.63,-169.41741634,2000,0.04996087774634361,0.00073,102713,-45.90879440307617,4.445813179016113,60.01245880126953
13849,7,106352,63.89,-160.27315144,2010,0.05055589973926544,0.00073,103351,-34.19545364379883,-1.2490580081939697,68.30677032470703
13945,7,107057,64.64,-160.12049562,2020,0.0494014136493206,0.00073,104056,-32.14006042480469,6.61235237121582,58.10651397705078
14036,7,107742,65.26,-145.19126665,2030,0.05017660930752754,0.00073,104741,-39.31885528564453,1.4299538135528564,47.60638427734375
14133,7,108468,65.31,-159.20817488,2040,0.04941302910447121,0.00073,105467,-24.142578125,0.5107645392417908,54.618309020996094
14230,7,109188,66.54,-142.88879645999998,2050,0.049981120973825455,0.00073,106187,-25.99641227722168,5.25661039352417,60.86651611328125
14315,7,109821,66.56,-128.16177641,2060,0.04856277257204056,0.00073,106820,-18.44320297241211,4.957211494445801,54.978370666503906
14408,7,110511,66.46,-121.63568477999999,2070,0.049100760370492935,0.00073,107510,-19.65990447998047,-5.803654670715332,54.40037536621094
14489,7,111120,66.7,-132.82079329,2080,0.04944554343819618,0.00073,108119,-20.0777587890625,0.8132216930389404,54.464012145996094
14586,7,111851,67.33,-140.36443570999998,2090,0.05319837108254433,0.00073,108850,-25.811298370361328,-0.9931101202964783,70.16218566894531
14678,7,112532,68.18,-145.22835975,2100,0.05301046743988991,0.00073,109531,-18.722904205322266,-6.487300872802734,58.55640411376953
14772,7,113235,68.83,-141.35312848,2110,0.05164581909775734,0.00073,110234,-52.56346893310547,2.3026938438415527,61.24272155761719
14866,7,113937,68.8,-142.5921176,2120,0.053081292659044266,0.00073,110936,-37.07328796386719,1.9351446628570557,65.37101745605469
14957,7,114615,68.73,-144.85591088000004,2130,0.05130371078848839,0.00073,111614,-40.34593200683594,1.510840654373169,54.877899169921875
