time/fps,time/episodes,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/critic_loss,train/learning_rate,train/n_updates,train/ent_coef_loss,train/ent_coef,train/actor_loss
7,1810,108004,14077,73.56,371.21594211,16.718534469604492,0.00073,105003,3.673748254776001,0.05927136540412903,-234.30332946777344
7,1820,108754,14179,74.44,419.41298859,15.245355606079102,0.00073,105753,3.0499534606933594,0.0596277229487896,-226.59925842285156
7,1830,109504,14281,75.0,479.32329938,12.911226272583008,0.00073,106503,-1.0442129373550415,0.05865604802966118,-240.8551483154297
7,1840,110254,14383,75.0,486.9672294900001,12.517414093017578,0.00073,107253,0.686755895614624,0.05689472705125809,-250.90057373046875
7,1850,110992,14482,74.88,482.94771156999997,16.339393615722656,0.00073,107991,-3.821291446685791,0.057076744735240936,-236.89682006835938
7,1860,111710,14579,74.56,470.59735856,11.655304908752441,0.00073,108709,-2.927924633026123,0.05463654547929764,-251.41513061523438
7,1870,112408,14674,74.04,456.10870869000007,14.186697006225586,0.00073,109407,-3.5718531608581543,0.05580012500286102,-250.225830078125
7,1880,113158,14775,74.04,457.39229414,17.27812957763672,0.00073,110157,-1.534578800201416,0.057281315326690674,-251.53619384765625
7,1890,113908,14877,74.04,461.28368158999996,17.071840286254883,0.00073,110907,1.8794034719467163,0.05667301267385483,-243.77731323242188
7,1900,114648,14977,73.94,456.56639304000004,14.674379348754883,0.00073,111647,4.605528831481934,0.05658630281686783,-246.08233642578125
7,1910,115398,15078,73.94,457.55874279999995,14.6704683303833,0.00073,112397,1.5847688913345337,0.057122938334941864,-255.44482421875
7,1920,116148,15180,73.94,454.60050821,17.833049774169922,0.00073,113147,4.221273422241211,0.05777331814169884,-235.76535034179688
7,1930,116898,15281,73.94,450.22347042999996,14.27391242980957,0.00073,113897,1.0925958156585693,0.05754366144537926,-258.35943603515625
7,1940,117632,15381,73.78,442.96103605000013,13.936030387878418,0.00073,114631,8.44530200958252,0.05712665617465973,-260.147705078125
7,1950,118382,15482,73.9,447.8591727600001,13.8613862991333,0.00073,115381,2.3046624660491943,0.05593949556350708,-251.56849670410156
7,1960,119132,15584,74.22,463.13451682000016,12.512650489807129,0.00073,116131,0.8442286849021912,0.054582592099905014,-262.9327392578125
7,1970,119882,15686,74.74,481.04757982,12.982205390930176,0.00073,116881,-5.0905985832214355,0.05367549508810043,-247.64047241210938
7,1980,120632,15788,74.74,484.34151889000003,13.177583694458008,0.00073,117631,0.30131834745407104,0.05288955196738243,-260.3246154785156
7,1990,121382,15888,74.74,484.93084455,12.598262786865234,0.00073,118381,0.5866141319274902,0.052608784288167953,-256.0706481933594
7,2000,122104,15985,74.56,482.48511329,14.42518424987793,0.00073,119103,-1.3510990142822266,0.05424036085605621,-251.75823974609375
7,2010,122854,16085,74.56,482.85672418,15.05118465423584,0.00073,119853,-0.7667737007141113,0.05463748425245285,-259.68798828125
7,2020,123582,16182,74.34,479.54335964000006,14.071096420288086,0.00073,120581,1.834326148033142,0.05321380868554115,-249.1817626953125
7,2030,124310,16281,74.12,476.63532352000004,14.754741668701172,0.00073,121309,-1.6097993850708008,0.05251331999897957,-246.94970703125
7,2040,125007,16375,73.75,471.13667229,15.812141418457031,0.00073,122006,-4.259766101837158,0.05095552280545235,-248.60658264160156
7,2050,125527,16444,71.45,429.32292208,16.275123596191406,0.00073,122526,9.421771049499512,0.05046158283948898,-255.81289672851562
7,2060,126188,16534,70.56,409.2705735,16.66285514831543,0.00073,123187,0.6259567141532898,0.0516040101647377,-261.6258544921875
7,2070,126938,16634,70.56,409.29524877000006,19.71721649169922,0.00073,123937,-3.4667418003082275,0.05134667456150055,-254.44473266601562
7,2080,127677,16735,70.45,396.5589048800001,14.968135833740234,0.00073,124676,0.7898659706115723,0.051919467747211456,-256.4891052246094
7,2090,128427,16838,70.45,397.05914852,17.198444366455078,0.00073,125426,4.502701759338379,0.05031943321228027,-261.42950439453125
7,2100,129177,16940,70.73,407.77957355,14.158964157104492,0.00073,126176,2.5536794662475586,0.05120827257633209,-253.02777099609375
7,2110,129927,17042,70.73,407.7543184400001,11.952370643615723,0.00073,126926,-0.24864578247070312,0.049735698848962784,-268.5428466796875
7,2120,130677,17143,70.95,411.72843634,19.66753387451172,0.00073,127676,3.880409002304077,0.05007506161928177,-253.75845336914062
7,2130,131427,17245,71.17,418.04680858000006,13.916421890258789,0.00073,128426,-0.03974789381027222,0.050324447453022,-272.1729431152344
7,2140,132111,17338,71.04,419.22684943,16.064685821533203,0.00073,129110,-2.3183748722076416,0.04791800305247307,-269.01934814453125
7,2150,132861,17440,73.34,463.16148582,14.62775993347168,0.00073,129860,6.886794090270996,0.04961530864238739,-259.267578125
