time/fps,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/episodes,rollout/ep_len_mean,train/ent_coef,train/n_updates,train/ent_coef_loss,train/actor_loss,train/learning_rate,train/critic_loss
7,770.6705953500001,23880,180136,2030,100.0,0.032865602523088455,177135,3.7005107402801514,-326.94268798828125,0.00073,2.877912998199463
7,771.06670239,24016,181136,2040,100.0,0.032697711139917374,178135,-5.680464744567871,-323.7947082519531,0.00073,4.0309247970581055
7,771.19337956,24152,182136,2050,100.0,0.03300168365240097,179135,4.455927848815918,-325.9754333496094,0.00073,4.381157398223877
7,771.3924468499998,24287,183136,2060,100.0,0.03274869546294212,180135,-1.4915821552276611,-321.4796142578125,0.00073,3.2651426792144775
7,771.5076190499999,24423,184136,2070,100.0,0.03234058618545532,181135,1.0496342182159424,-325.31939697265625,0.00073,2.919236898422241
7,771.6541077500001,24560,185136,2080,100.0,0.03340734541416168,182135,-3.0732998847961426,-324.2145080566406,0.00073,5.1013054847717285
7,771.59627616,24697,186136,2090,100.0,0.03197767958045006,183135,0.8860576152801514,-326.25592041015625,0.00073,3.1947238445281982
7,771.5943664800001,24833,187136,2100,100.0,0.032763127237558365,184135,7.179537296295166,-324.4938659667969,0.00073,3.828545093536377
7,771.5860845199999,24967,188136,2110,100.0,0.031799767166376114,185135,5.771215915679932,-325.00396728515625,0.00073,4.4552106857299805
7,771.2097220700001,25103,189136,2120,100.0,0.03173740953207016,186135,-2.7274329662323,-327.32147216796875,0.00073,3.1502747535705566
7,770.903293,25238,190136,2130,100.0,0.031950872391462326,187135,1.3855760097503662,-325.87420654296875,0.00073,3.001589298248291
7,770.70088284,25373,191136,2140,100.0,0.03181589022278786,188135,-0.8443412780761719,-328.1246337890625,0.00073,3.84820556640625
7,770.2297499600002,25508,192136,2150,100.0,0.03253629431128502,189135,-8.769828796386719,-326.1145324707031,0.00073,3.909327507019043
7,769.0739985800001,25646,193136,2160,100.0,0.03159155324101448,190135,-0.3661789894104004,-329.45037841796875,0.00073,3.87951922416687
7,768.4625515000001,25781,194136,2170,100.0,0.031834155321121216,191135,1.4514366388320923,-330.91973876953125,0.00073,2.3438498973846436
7,768.3537688599998,25918,195136,2180,100.0,0.03253716975450516,192135,-1.3715426921844482,-328.53240966796875,0.00073,3.6944165229797363
