time/episodes,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/fps,train/ent_coef,train/critic_loss,train/learning_rate,train/actor_loss,train/ent_coef_loss,train/n_updates
1520,3953,22.39,31828,-9.60563083,8,0.001063415315002203,0.02798996865749359,0.00073,4.258781909942627,-8.563470840454102,28827
1530,3980,22.11,32023,-9.55567127,8,0.0010871648555621505,0.031095055863261223,0.00073,4.287624359130859,16.286808013916016,29022
1540,4009,22.17,32237,-9.55889192,8,0.0010503021767362952,0.02525237202644348,0.00073,4.230072975158691,3.9918713569641113,29236
1550,4035,22.23,32433,-9.47132459,8,0.0010639949468895793,0.021706536412239075,0.00073,4.284914016723633,2.572758436203003,29432
1560,4062,22.07,32634,-9.460379719999999,8,0.001054462743923068,0.02509176731109619,0.00073,4.217253684997559,-1.9349677562713623,29633
1570,4091,21.69,32844,-9.36290563,8,0.0010496793547645211,0.027921296656131744,0.00073,4.278946876525879,-1.361029863357544,29843
1580,4122,21.35,33082,-9.170195599999998,8,0.0010365641210228205,0.025517482310533524,0.00073,4.298524856567383,3.5279653072357178,30081
1590,4159,21.46,33350,-9.060271810000001,8,0.001055913744494319,0.02399684488773346,0.00073,4.334477424621582,0.1299605369567871,30349
1600,4193,21.7,33604,-8.93630233,8,0.0010133408941328526,0.026078689843416214,0.00073,4.353056907653809,10.509143829345703,30603
1610,4225,22.17,33843,-8.7814196,8,0.0010453991126269102,0.023433735594153404,0.00073,4.370616436004639,1.7687184810638428,30842
1620,4253,22.26,34054,-8.984038469999998,8,0.0010231228079646826,0.021688073873519897,0.00073,4.332186222076416,4.696597099304199,31053
1630,4279,22.26,34249,-9.0602359,8,0.0010174369672313333,0.026967454701662064,0.00073,4.3145575523376465,1.253389835357666,31248
1640,4305,22.04,34441,-9.098368760000001,7,0.001036168192513287,0.0254959799349308,0.00073,4.301841735839844,-11.033557891845703,31440
1650,4332,22.08,34641,-9.063686960000002,7,0.0010235336376354098,0.025214433670043945,0.00073,4.253232002258301,-4.568567276000977,31640
1660,4357,21.99,34833,-9.163239019999999,7,0.0010398958111181855,0.027722273021936417,0.00073,4.387413501739502,7.811749458312988,31832
1670,4384,21.88,35032,-9.266217059999999,7,0.0010334079852327704,0.025926511734724045,0.00073,4.472625732421875,6.724854469299316,32031
1680,4414,21.71,35253,-9.22317284,7,0.0009848620975390077,0.025416502729058266,0.00073,4.229107856750488,-16.708694458007812,32252
1690,4441,20.95,35445,-8.80158429,7,0.000966189953032881,0.02473541721701622,0.00073,4.401762962341309,-0.08829021453857422,32444
1700,4465,20.14,35618,-8.7122936,7,0.0009917982388287783,0.0214379895478487,0.00073,4.371606826782227,21.671707153320312,32617
1710,4489,19.42,35785,-8.55584996,7,0.0010090720606967807,0.02526797540485859,0.00073,4.388247489929199,-13.632196426391602,32784
1720,4511,18.88,35942,-8.247809049999999,7,0.0009659112547524273,0.022296089679002762,0.00073,4.31450080871582,3.208688974380493,32941
1730,4537,18.92,36141,-8.154194960000002,7,0.0009931640233844519,0.021926548331975937,0.00073,4.376694202423096,18.937395095825195,33140
1740,4564,18.9,36331,-8.14101892,7,0.001047691097483039,0.02941875159740448,0.00073,4.480453968048096,3.962563991546631,33330
1750,4594,19.09,36550,-8.31103405,7,0.0010268725454807281,0.025507815182209015,0.00073,4.43527889251709,-4.232529640197754,33549
1760,4623,19.29,36762,-8.318380920000003,7,0.0009649003623053432,0.02060166746377945,0.00073,4.496264457702637,5.688115119934082,33761
1770,4655,19.58,36990,-8.300417509999999,7,0.0009476105915382504,0.02183648943901062,0.00073,4.310341835021973,-13.223597526550293,33989
1780,4683,19.38,37191,-8.100526709999999,7,0.0009240275248885155,0.023804087191820145,0.00073,4.3550519943237305,-4.227823257446289,34190
1790,4710,19.43,37388,-8.21949652,7,0.0009346802835352719,0.023541484028100967,0.00073,4.298825263977051,-8.847257614135742,34387
1800,4735,19.53,37571,-8.18735249,7,0.0009840691927820444,0.02565782144665718,0.00073,4.441644668579102,-8.851569175720215,34570
1810,4765,19.99,37784,-8.299764850000003,7,0.0009602548670955002,0.022122325375676155,0.00073,4.409597396850586,-27.29058837890625,34783
1820,4796,20.67,38009,-8.57844059,7,0.0009673073654994369,0.020939484238624573,0.00073,4.315930366516113,-15.892967224121094,35008
1830,4830,21.16,38257,-8.626162519999998,7,0.00094027747400105,0.01928696036338806,0.00073,4.239985466003418,3.201568841934204,35256
1840,4854,21.03,38434,-8.70296368,7,0.0009416769607923925,0.025115210562944412,0.00073,4.5879645347595215,21.2247257232666,35433
1850,4879,20.67,38617,-8.62400061,7,0.0009510786039754748,0.020967334508895874,0.00073,4.401342391967773,-0.36048078536987305,35616
1860,4903,20.31,38793,-8.435783129999999,7,0.0009365035803057253,0.022060386836528778,0.00073,4.487867832183838,-5.780363082885742,35792
1870,4928,19.88,38978,-8.19129315,7,0.00091581727610901,0.01715203747153282,0.00073,4.388513565063477,14.840683937072754,35977
1880,4954,19.7,39161,-8.11750751,7,0.0009174288134090602,0.023737996816635132,0.00073,4.2423553466796875,-5.920098304748535,36160
1890,4981,19.72,39360,-7.97864068,7,0.0009236935875378549,0.02061743475496769,0.00073,4.3616838455200195,5.43544864654541,36359
1900,5007,19.8,39551,-7.853306660000002,7,0.0009422788280062377,0.02379131317138672,0.00073,4.494502067565918,3.3203651905059814,36550
