rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/fps,time/episodes,time/total_timesteps,train/learning_rate,train/actor_loss,train/n_updates,train/critic_loss,train/ent_coef,train/ent_coef_loss
348.95775274,72.07,10489,7,1400,79895,0.00073,-179.7586669921875,76894,17.08099365234375,0.0616152323782444,2.092703104019165
305.83806517,70.61,10576,7,1410,80499,0.00073,-193.4730987548828,77498,27.439594268798828,0.0600806325674057,7.663092613220215
280.17802747,69.92,10669,7,1420,81180,0.00073,-184.09959411621094,78179,24.555423736572266,0.05903323367238045,3.084111452102661
284.26498093,69.57,10768,7,1430,81895,0.00073,-190.7773895263672,78894,19.955230712890625,0.06216317415237427,0.8130452036857605
294.21717732,69.57,10870,7,1440,82645,0.00073,-175.6135711669922,79644,16.33510971069336,0.06505564600229263,0.1370890736579895
295.02604718,69.57,10973,7,1450,83395,0.00073,-196.22647094726562,80394,14.177988052368164,0.06344053149223328,-0.05175642669200897
343.36946293,71.08,11077,7,1460,84145,0.00073,-184.2030029296875,81144,14.912191390991211,0.06314616650342941,4.82452392578125
376.50071797000004,72.5,11180,7,1470,84895,0.00073,-193.78639221191406,81894,16.070178985595703,0.06253225356340408,-2.259073257446289
377.60265804000005,72.5,11283,7,1480,85645,0.00073,-215.16909790039062,82644,13.870070457458496,0.06264104694128036,10.03645133972168
317.4950441699999,72.5,11387,7,1490,86395,0.00073,-198.31790161132812,83394,16.16783905029297,0.05810725688934326,1.7751543521881104
310.36026675,72.5,11493,7,1500,87145,0.00073,-200.4268035888672,84144,14.296051025390625,0.06248892843723297,-0.5663442611694336
355.83083178,73.96,11597,7,1510,87895,0.00073,-196.7454376220703,84894,19.269954681396484,0.06233466789126396,4.41928243637085
386.9701336800001,74.65,11699,7,1520,88645,0.00073,-213.8342742919922,85644,12.130905151367188,0.062455758452415466,-6.74466609954834
386.5940858800001,74.74,11799,7,1530,89369,0.00073,-199.45899963378906,86368,14.79106330871582,0.06099589914083481,-2.228330373764038
380.49679832999993,74.44,11897,7,1540,90089,0.00073,-193.8558349609375,87088,13.206948280334473,0.0599881112575531,-2.567218065261841
377.03963732999995,74.13,11994,7,1550,90808,0.00073,-200.9388885498047,87807,13.492683410644531,0.059504762291908264,1.064903974533081
377.95355512000003,74.13,12096,7,1560,91558,0.00073,-198.7122802734375,88557,16.810596466064453,0.057447269558906555,2.129255771636963
377.05660506,74.13,12198,7,1570,92308,0.00073,-206.39443969726562,89307,10.191869735717773,0.05768226087093353,-0.4249035120010376
375.54915688999995,74.13,12302,7,1580,93058,0.00073,-207.53048706054688,90057,12.481608390808105,0.0576440691947937,-0.05611145496368408
437.40819541,74.13,12405,7,1590,93808,0.00073,-208.97303771972656,90807,10.405235290527344,0.057727813720703125,-2.9719414710998535
446.26841113,74.13,12508,7,1600,94558,0.00073,-214.082763671875,91557,12.287973403930664,0.058852121233940125,-2.2665185928344727
449.51112598,74.13,12611,7,1610,95308,0.00073,-204.69964599609375,92307,11.2656888961792,0.05968095734715462,-9.790982246398926
449.9601876799999,74.13,12713,7,1620,96058,0.00073,-203.1409149169922,93057,10.790706634521484,0.05980490893125534,3.01507568359375
460.27782647,74.39,12816,7,1630,96808,0.00073,-220.03028869628906,93807,9.487312316894531,0.058398082852363586,0.4862632751464844
468.15369982,74.69,12919,7,1640,97558,0.00073,-194.74476623535156,94557,11.059259414672852,0.06077132374048233,3.766413927078247
475.5393118399999,75.0,13022,7,1650,98308,0.00073,-206.78135681152344,95307,8.76447582244873,0.05894717574119568,3.4577839374542236
476.61899432999996,75.0,13125,7,1660,99058,0.00073,-215.81137084960938,96057,9.182544708251953,0.05738333985209465,-1.6383899450302124
478.12042873999997,75.0,13228,7,1670,99808,0.00073,-203.95852661132812,96807,11.046351432800293,0.05862298607826233,4.765789985656738
481.98109493,75.0,13332,7,1680,100558,0.00073,-211.54766845703125,97557,10.671036720275879,0.05679826810956001,-0.5290815830230713
481.8419373699999,75.0,13434,7,1690,101308,0.00073,-208.2481689453125,98307,8.005589485168457,0.05711309239268303,-4.851870536804199
456.65097055,73.81,13520,7,1700,101939,0.00073,-217.64794921875,98938,9.738380432128906,0.05732317641377449,-0.3192644715309143
447.4581415000001,73.3,13617,7,1710,102638,0.00073,-211.4004669189453,99637,11.689325332641602,0.05776483193039894,3.4233670234680176
448.1214128399999,73.3,13721,7,1720,103388,0.00073,-204.39407348632812,100387,8.86113452911377,0.05797238275408745,-0.8189039826393127
447.8503099200001,73.3,13823,7,1730,104138,0.00073,-213.91622924804688,101137,9.758749008178711,0.05671825259923935,2.2305502891540527
447.47307664000004,73.3,13926,7,1740,104888,0.00073,-216.82681274414062,101887,9.769233703613281,0.056886278092861176,1.2351645231246948
447.52778468,73.3,14029,7,1750,105638,0.00073,-210.0785675048828,102637,9.576841354370117,0.05855102092027664,-5.76135778427124
447.99975135999995,73.3,14132,7,1760,106388,0.00073,-213.97653198242188,103387,12.163154602050781,0.05809728428721428,-3.004850387573242
447.43161369,73.3,14235,7,1770,107138,0.00073,-223.40121459960938,104137,11.291631698608398,0.05634722113609314,9.39854621887207
446.59976059,73.3,14338,7,1780,107888,0.00073,-216.33340454101562,104887,9.610664367675781,0.057404305785894394,-1.3769423961639404
444.35294027000003,73.3,14441,7,1790,108638,0.00073,-222.37506103515625,105637,10.10798454284668,0.058148279786109924,0.232232928276062
468.1808958600001,74.49,14546,7,1800,109388,0.00073,-223.68133544921875,106387,10.021684646606445,0.05664095655083656,-1.7572993040084839
478.9200166899999,75.0,14651,7,1810,110138,0.00073,-227.5320587158203,107137,10.07907485961914,0.0562686026096344,3.699587345123291
480.97503594999995,75.0,14754,7,1820,110888,0.00073,-218.58428955078125,107887,8.355067253112793,0.05710021033883095,0.591956615447998
482.41083742,75.0,14857,7,1830,111638,0.00073,-221.0728759765625,108637,9.60430908203125,0.05585155263543129,-5.289120674133301
484.42764926999996,75.0,14961,7,1840,112388,0.00073,-229.80027770996094,109387,7.343997955322266,0.055391695350408554,1.3742774724960327
486.3552883899998,75.0,15064,7,1850,113138,0.00073,-215.734130859375,110137,10.979803085327148,0.0554196871817112,-0.27378329634666443
458.67160797,73.32,15143,7,1860,113720,0.00073,-222.96286010742188,110719,11.299013137817383,0.0548274926841259,-1.9917902946472168
399.6815253500001,70.23,15204,7,1870,114161,0.00073,-228.569091796875,111160,10.200916290283203,0.05515860766172409,-8.467912673950195
402.8284775099999,70.23,15306,7,1880,114911,0.00073,-223.0290069580078,111910,11.450008392333984,0.05393032729625702,-5.792965412139893
405.85852127000004,70.23,15409,7,1890,115661,0.00073,-229.1283416748047,112660,9.483423233032227,0.05438617989420891,-8.507915496826172
